MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
Method|SubscribeModBrowserToDirectoryWatcher()|L2659,SubscribeModBrowserToDirectoryWatcher,SubscribeModBrowserToDirectoryWatcher(),2659,2665,7,,,,,0,0,0,0
Method|UnsubscribeModBrowserFromDirectoryWatcher()|L2667,UnsubscribeModBrowserFromDirectoryWatcher,UnsubscribeModBrowserFromDirectoryWatcher(),2667,2673,7,,,,,0,0,0,0
"Method|ModsWatcherOnChangesDetected(object?,EventArgs)|L2675",ModsWatcherOnChangesDetected,"ModsWatcherOnChangesDetected(object?,EventArgs)",2675,2691,17,,,,,0,0,0,0
Method|SyncInstalledModsToModBrowser()|L2693,SyncInstalledModsToModBrowser,SyncInstalledModsToModBrowser(),2693,2714,22,,,,,0,0,0,0
Method|AddModToInstalledAndRemoveFromSearch(int)|L2716,AddModToInstalledAndRemoveFromSearch,AddModToInstalledAndRemoveFromSearch(int),2716,2734,19,,,,,0,0,0,0
Method|InstallModFromBrowserAsync(DownloadableMod)|L2736,InstallModFromBrowserAsync,InstallModFromBrowserAsync(DownloadableMod),2736,2842,107,AddModToInstalledAndRemoveFromSearch;ConvertToModListItemViewModel;CreateAutomaticBackupAsync;RefreshModsAsync;ReportStatus;SelectReleaseForInstall;TryGetInstallTargetPath;UpdateSelectedModButtons,"Method|AddModToInstalledAndRemoveFromSearch(int)|L2716;Method|ConvertToModListItemViewModel(DownloadableMod)|L2848;Method|CreateAutomaticBackupAsync(string)|L9696;Method|RefreshModsAsync(bool)|L4175;Method|ReportStatus(string,bool)|L502;Method|SelectReleaseForInstall(ModListItemViewModel)|L5698;Method|TryGetInstallTargetPath(ModListItemViewModel,ModReleaseInfo,out string,out string?)|L8991;Method|UpdateSelectedModButtons()|L13703",,,8,8,0,0
Method|ConvertToModListItemViewModel(DownloadableMod)|L2848,ConvertToModListItemViewModel,ConvertToModListItemViewModel(DownloadableMod),2848,2914,67,,,,,0,0,0,0
Method|ConvertToModReleaseInfo(DownloadableModRelease)|L2920,ConvertToModReleaseInfo,ConvertToModReleaseInfo(DownloadableModRelease),2920,2944,25,,,,,0,0,0,0
"Method|OnUserReportVoteSubmitted(object?,ModUserReportChangedEventArgs)|L2946",OnUserReportVoteSubmitted,"OnUserReportVoteSubmitted(object?,ModUserReportChangedEventArgs)",2946,2961,16,,,,,0,0,0,0
"Method|ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)|L2963",ViewModelOnPropertyChanged,"ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)",2963,3044,82,AttachToModsView;HandleModlistsVisibilityChanged;RefreshHoverOverlayState;RefreshModsAfterDependencyResolutionAsync;ScheduleRefreshAfterModlistLoadIfReady;ShouldPreserveModsViewState;ShouldRefreshAfterDependencyResolution;SyncMiddleTabControlToViewModel;UpdateSortPreferenceFromSelectedOption,"Method|AttachToModsView(ICollectionView?,bool)|L13381;Method|HandleModlistsVisibilityChanged(bool)|L3051;Method|RefreshHoverOverlayState()|L4942;Method|RefreshModsAfterDependencyResolutionAsync()|L3359;Method|ScheduleRefreshAfterModlistLoadIfReady()|L3385;Method|ShouldPreserveModsViewState(ICollectionView?,ICollectionView?)|L13366;Method|ShouldRefreshAfterDependencyResolution(string?)|L3353;Method|SyncMiddleTabControlToViewModel()|L3131;Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596",,,9,9,0,0
Method|UpdateSearchColumnVisibility(bool)|L3046,UpdateSearchColumnVisibility,UpdateSearchColumnVisibility(bool),3046,3049,4,UpdateSearchSortingBehavior,Method|UpdateSearchSortingBehavior(bool)|L3346,,,1,1,0,0
Method|HandleModlistsVisibilityChanged(bool)|L3051,HandleModlistsVisibilityChanged,HandleModlistsVisibilityChanged(bool),3051,3073,23,ApplyPreferredModlistsTabSelection;RefreshCloudModlistsAsync;RefreshLocalModlists;SetCloudModlistSelection;SetLocalModlistSelection,"Method|ApplyPreferredModlistsTabSelection()|L3201;Method|RefreshCloudModlistsAsync(bool)|L12066;Method|RefreshLocalModlists(bool,IReadOnlyCollection<string>?)|L11855;Method|SetCloudModlistSelection(CloudModlistListEntry?)|L12213;Method|SetLocalModlistSelection(IReadOnlyList<LocalModlistListEntry>)|L12185",,,5,5,0,0
"Method|MiddleTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3075",MiddleTabControl_OnSelectionChanged,"MiddleTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",3075,3113,39,UpdateModBrowserTabVisibilityState,Method|UpdateModBrowserTabVisibilityState(bool)|L3115,,,1,1,0,0
Method|UpdateModBrowserTabVisibilityState(bool)|L3115,UpdateModBrowserTabVisibilityState,UpdateModBrowserTabVisibilityState(bool),3115,3129,15,,,,,0,0,0,0
Method|SyncMiddleTabControlToViewModel()|L3131,SyncMiddleTabControlToViewModel,SyncMiddleTabControlToViewModel(),3131,3157,27,,,,,0,0,0,0
"Method|ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3159",ModlistsTabControl_OnSelectionChanged,"ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",3159,3194,36,EnsureCloudModlistsConsent;EnsureFirebaseAuthBackedUpIfAvailable;HasFirebaseAuthStateFile;RefreshCloudModlistsAsync,Method|EnsureCloudModlistsConsent()|L3227;Method|EnsureFirebaseAuthBackedUpIfAvailable()|L3284;Method|HasFirebaseAuthStateFile()|L3267;Method|RefreshCloudModlistsAsync(bool)|L12066,,,4,4,0,0
"Method|ModlistsTabControl_OnLoaded(object,RoutedEventArgs)|L3196",ModlistsTabControl_OnLoaded,"ModlistsTabControl_OnLoaded(object,RoutedEventArgs)",3196,3199,4,ApplyPreferredModlistsTabSelection,Method|ApplyPreferredModlistsTabSelection()|L3201,,,1,1,0,0
Method|ApplyPreferredModlistsTabSelection()|L3201,ApplyPreferredModlistsTabSelection,ApplyPreferredModlistsTabSelection(),3201,3211,11,,,,,0,0,0,0
"Method|InternetAccessManager_OnInternetAccessChanged(object?,EventArgs)|L3213",InternetAccessManager_OnInternetAccessChanged,"InternetAccessManager_OnInternetAccessChanged(object?,EventArgs)",3213,3225,13,RefreshManagerUpdateLinkAsync;UpdateCloudModlistControlsEnabledState,Method|RefreshManagerUpdateLinkAsync()|L12258;Method|UpdateCloudModlistControlsEnabledState()|L12225,,,2,2,0,0
Method|EnsureCloudModlistsConsent()|L3227,EnsureCloudModlistsConsent,EnsureCloudModlistsConsent(),3227,3238,12,EnsureFirebaseAuthConsent,Method|EnsureFirebaseAuthConsent(string)|L3240,,,1,1,0,0
Method|EnsureFirebaseAuthConsent(string)|L3240,EnsureFirebaseAuthConsent,EnsureFirebaseAuthConsent(string),3240,3265,26,EnsureFirebaseAuthBackedUpIfAvailable,Method|EnsureFirebaseAuthBackedUpIfAvailable()|L3284,,,1,1,0,0
Method|HasFirebaseAuthStateFile()|L3267,HasFirebaseAuthStateFile,HasFirebaseAuthStateFile(),3267,3271,5,,,,,0,0,0,0
Method|EnsureUserReportVotingConsent()|L3273,EnsureUserReportVotingConsent,EnsureUserReportVotingConsent(),3273,3282,10,EnsureFirebaseAuthConsent,Method|EnsureFirebaseAuthConsent(string)|L3240,,,1,1,0,0
Method|EnsureFirebaseAuthBackedUpIfAvailable()|L3284,EnsureFirebaseAuthBackedUpIfAvailable,EnsureFirebaseAuthBackedUpIfAvailable(),3284,3316,33,,,,,0,0,0,0
Method|DeleteFirebaseAuthFiles()|L3318,DeleteFirebaseAuthFiles,DeleteFirebaseAuthFiles(),3318,3329,12,TryDeleteFirebaseAuthFile,Method|TryDeleteFirebaseAuthFile(string)|L3331,,,1,1,0,0
Method|TryDeleteFirebaseAuthFile(string)|L3331,TryDeleteFirebaseAuthFile,TryDeleteFirebaseAuthFile(string),3331,3344,14,,,,,0,0,0,0
Method|UpdateSearchSortingBehavior(bool)|L3346,UpdateSearchSortingBehavior,UpdateSearchSortingBehavior(bool),3346,3351,6,,,,,0,0,0,0
Method|ShouldRefreshAfterDependencyResolution(string?)|L3353,ShouldRefreshAfterDependencyResolution,ShouldRefreshAfterDependencyResolution(string?),3353,3357,5,,,,,0,0,0,0
Method|RefreshModsAfterDependencyResolutionAsync()|L3359,RefreshModsAfterDependencyResolutionAsync,RefreshModsAfterDependencyResolutionAsync(),3359,3383,25,RefreshModsAsync,Method|RefreshModsAsync(bool)|L4175,,,1,1,0,0
Method|ScheduleRefreshAfterModlistLoadIfReady()|L3385,ScheduleRefreshAfterModlistLoadIfReady,ScheduleRefreshAfterModlistLoadIfReady(),3385,3416,32,RefreshModsAsync,Method|RefreshModsAsync(bool)|L4175,,,1,1,0,0
Method|RestoreSortPreference()|L3418,RestoreSortPreference,RestoreSortPreference(),3418,3429,12,ApplyModListSort;UpdateSortPreferenceFromSelectedOption,"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431;Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596",,,2,2,0,0
"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431",ApplyModListSort,"ApplyModListSort(string,ListSortDirection,bool)",3431,3448,18,ApplySortOption;BuildSortDescriptions;BuildSortDisplayName;FindMatchingSortOption;NormalizeSortMemberPath,"Method|ApplySortOption(SortOption,bool)|L3450;Method|BuildSortDescriptions(string,ListSortDirection)|L3548;Method|BuildSortDisplayName(string,ListSortDirection)|L3575;Method|FindMatchingSortOption(string,ListSortDirection)|L3509;Method|NormalizeSortMemberPath(string)|L3485",,,5,5,0,0
"Method|ApplySortOption(SortOption,bool)|L3450",ApplySortOption,"ApplySortOption(SortOption,bool)",3450,3474,25,UpdateSortPreferenceFromSelectedOption,Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596,,,1,1,0,0
Method|IsActiveSortMember(string?)|L3476,IsActiveSortMember,IsActiveSortMember(string?),3476,3483,8,,,,,0,0,0,0
Method|NormalizeSortMemberPath(string)|L3485,NormalizeSortMemberPath,NormalizeSortMemberPath(string),3485,3497,13,IsActiveSortMember,Method|IsActiveSortMember(string?)|L3476,,,1,1,0,0
"Method|SortMemberMatches(string?,string)|L3499",SortMemberMatches,"SortMemberMatches(string?,string)",3499,3507,9,NormalizeSortMemberPath,Method|NormalizeSortMemberPath(string)|L3485,,,1,1,0,0
"Method|FindMatchingSortOption(string,ListSortDirection)|L3509",FindMatchingSortOption,"FindMatchingSortOption(string,ListSortDirection)",3509,3524,16,NormalizeSortMemberPath;SortOptionMatches,"Method|NormalizeSortMemberPath(string)|L3485;Method|SortOptionMatches(SortOption,string,ListSortDirection)|L3526",,,2,2,0,0
"Method|SortOptionMatches(SortOption,string,ListSortDirection)|L3526",SortOptionMatches,"SortOptionMatches(SortOption,string,ListSortDirection)",3526,3546,21,IsActiveSortMember,Method|IsActiveSortMember(string?)|L3476,,,1,1,0,0
"Method|BuildSortDescriptions(string,ListSortDirection)|L3548",BuildSortDescriptions,"BuildSortDescriptions(string,ListSortDirection)",3548,3573,26,IsActiveSortMember,Method|IsActiveSortMember(string?)|L3476,,,1,1,0,0
"Method|BuildSortDisplayName(string,ListSortDirection)|L3575",BuildSortDisplayName,"BuildSortDisplayName(string,ListSortDirection)",3575,3594,20,IsActiveSortMember,Method|IsActiveSortMember(string?)|L3476,,,1,1,0,0
Method|UpdateSortPreferenceFromSelectedOption(bool)|L3596,UpdateSortPreferenceFromSelectedOption,UpdateSortPreferenceFromSelectedOption(bool),3596,3618,23,ClearColumnSortIndicators;UpdateColumnSortVisuals,"Method|ClearColumnSortIndicators()|L3631;Method|UpdateColumnSortVisuals(string,ListSortDirection)|L3620",,,2,2,0,0
"Method|UpdateColumnSortVisuals(string,ListSortDirection)|L3620",UpdateColumnSortVisuals,"UpdateColumnSortVisuals(string,ListSortDirection)",3620,3629,10,SortMemberMatches,"Method|SortMemberMatches(string?,string)|L3499",,,1,1,0,0
Method|ClearColumnSortIndicators()|L3631,ClearColumnSortIndicators,ClearColumnSortIndicators(),3631,3636,6,,,,,0,0,0,0
Method|InitializeViewModelAsync(MainViewModel)|L3638,InitializeViewModelAsync,InitializeViewModelAsync(MainViewModel),3638,3667,30,StartGameSessionMonitor;StartModsWatcher;TryShowModUsagePromptAsync,Method|StartGameSessionMonitor()|L3703;Method|StartModsWatcher()|L3689;Method|TryShowModUsagePromptAsync()|L818,,,3,3,0,0
Method|DisposeCurrentViewModel()|L3669,DisposeCurrentViewModel,DisposeCurrentViewModel(),3669,3678,10,DisposeViewModel;StopGameSessionMonitor,Method|DisposeViewModel(MainViewModel?)|L3680;Method|StopGameSessionMonitor()|L3734,,,2,2,0,0
Method|DisposeViewModel(MainViewModel?)|L3680,DisposeViewModel,DisposeViewModel(MainViewModel?),3680,3687,8,,,,,0,0,0,0
Method|StartModsWatcher()|L3689,StartModsWatcher,StartModsWatcher(),3689,3701,13,StopModsWatcher,Method|StopModsWatcher()|L4138,,,1,1,0,0
Method|StartGameSessionMonitor()|L3703,StartGameSessionMonitor,StartGameSessionMonitor(),3703,3732,30,StopGameSessionMonitor,Method|StopGameSessionMonitor()|L3734,,,1,1,0,0
Method|StopGameSessionMonitor()|L3734,StopGameSessionMonitor,StopGameSessionMonitor(),3734,3741,8,,,,,0,0,0,0
"Method|GameSessionMonitor_OnPromptRequired(object?,EventArgs)|L3743",GameSessionMonitor_OnPromptRequired,"GameSessionMonitor_OnPromptRequired(object?,EventArgs)",3743,3746,4,,,,,0,0,0,0
Method|ScanForModConfigFilesAsync(MainViewModel)|L3748,ScanForModConfigFilesAsync,ScanForModConfigFilesAsync(MainViewModel),3748,3752,5,ScanForModConfigFilesAsync,,ScanForModConfigFilesAsync,,1,0,1,0
"Method|ScanForModConfigFilesAsync(MainViewModel,IReadOnlyCollection<string>?)|L3754",ScanForModConfigFilesAsync,"ScanForModConfigFilesAsync(MainViewModel,IReadOnlyCollection<string>?)",3754,3788,35,ScanForModConfigFilesAsync,,ScanForModConfigFilesAsync,,1,0,1,0
"Method|ScanForModConfigFilesAsync(MainViewModel,IReadOnlyList<ModListItemViewModel>)|L3790",ScanForModConfigFilesAsync,"ScanForModConfigFilesAsync(MainViewModel,IReadOnlyList<ModListItemViewModel>)",3790,3866,77,FindConfigMatches;GetSupportedConfigFiles;UpdateSelectedModEditConfigButton,"Method|FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)|L3868;Method|GetSupportedConfigFiles(string)|L10317;Method|UpdateSelectedModEditConfigButton(ModListItemViewModel?)|L13816",,,3,3,0,0
"Method|FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)|L3868",FindConfigMatches,"FindConfigMatches(IReadOnlyList<(string ModId, string DisplayName)>,IReadOnlyList<string>)",3868,3943,76,BuildModSearchTokenSets;BuildSearchTokens;TryCalculateMatchScore,"Method|BuildModSearchTokenSets(string?,string?)|L4027;Method|BuildSearchTokens(string,bool)|L4075;Method|TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)|L3945",,,3,3,0,0
"Method|TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)|L3945",TryCalculateMatchScore,"TryCalculateMatchScore(IReadOnlyList<string>,IReadOnlyList<string>,out int)",3945,3976,32,CalculateBestDistance,"Method|CalculateBestDistance(string,string,int)|L3978",,,1,1,0,0
"Method|CalculateBestDistance(string,string,int)|L3978",CalculateBestDistance,"CalculateBestDistance(string,string,int)",3978,3986,9,CalculateLevenshteinDistance,"Method|CalculateLevenshteinDistance(ReadOnlySpan<char>,ReadOnlySpan<char>,int)|L3988",,,1,1,0,0
"Method|CalculateLevenshteinDistance(ReadOnlySpan<char>,ReadOnlySpan<char>,int)|L3988",CalculateLevenshteinDistance,"CalculateLevenshteinDistance(ReadOnlySpan<char>,ReadOnlySpan<char>,int)",3988,4025,38,,,,,0,0,0,0
"Method|BuildModSearchTokenSets(string?,string?)|L4027",BuildModSearchTokenSets,"BuildModSearchTokenSets(string?,string?)",4027,4062,36,AreTokenListsEqual;BuildSearchTokens,"Method|AreTokenListsEqual(IReadOnlyList<string>,IReadOnlyList<string>)|L4064;Method|BuildSearchTokens(string,bool)|L4075",,,2,2,0,0
"Method|AreTokenListsEqual(IReadOnlyList<string>,IReadOnlyList<string>)|L4064",AreTokenListsEqual,"AreTokenListsEqual(IReadOnlyList<string>,IReadOnlyList<string>)",4064,4073,10,,,,,0,0,0,0
"Method|BuildSearchTokens(string,bool)|L4075",BuildSearchTokens,"BuildSearchTokens(string,bool)",4075,4087,13,ExtractWords,Method|ExtractWords(string)|L4089,,,1,1,0,0
Method|ExtractWords(string)|L4089,ExtractWords,ExtractWords(string),4089,4136,48,,,,,0,0,0,0
Method|StopModsWatcher()|L4138,StopModsWatcher,StopModsWatcher(),4138,4146,9,,,,,0,0,0,0
"Method|ModsWatcherTimerOnTick(object?,EventArgs)|L4148",ModsWatcherTimerOnTick,"ModsWatcherTimerOnTick(object?,EventArgs)",4148,4173,26,RefreshModsAsync,Method|RefreshModsAsync(bool)|L4175,,,1,1,0,0
Method|RefreshModsAsync(bool)|L4175,RefreshModsAsync,RefreshModsAsync(bool),4175,4207,33,RestoreSelectionFromSourcePaths;SyncInstalledModsToModBrowser,"Method|RestoreSelectionFromSourcePaths(IReadOnlyList<string>,string?)|L13580;Method|SyncInstalledModsToModBrowser()|L2693",,,2,2,0,0
Method|RefreshModDetailsOnly()|L4209,RefreshModDetailsOnly,RefreshModDetailsOnly(),4209,4215,7,,,,,0,0,0,0
Method|TryInitializePaths()|L4217,TryInitializePaths,TryInitializePaths(),4217,4232,16,TryResolveCustomShortcut;TryResolveDataDirectory;TryResolveGameDirectory,Method|TryResolveCustomShortcut()|L4315;Method|TryResolveDataDirectory()|L4234;Method|TryResolveGameDirectory()|L4273,,,3,3,0,0
Method|TryResolveDataDirectory()|L4234,TryResolveDataDirectory,TryResolveDataDirectory(),4234,4271,38,PromptForDirectory;TryValidateDataDirectory,"Method|PromptForDirectory(string,string?,PathValidator,bool)|L4422;Method|TryValidateDataDirectory(string?,out string?,out string?)|L4519",,,2,2,0,0
Method|TryResolveGameDirectory()|L4273,TryResolveGameDirectory,TryResolveGameDirectory(),4273,4313,41,PromptForDirectory;TryValidateGameDirectory,"Method|PromptForDirectory(string,string?,PathValidator,bool)|L4422;Method|TryValidateGameDirectory(string?,out string?,out string?)|L4559",,,2,2,0,0
Method|TryResolveCustomShortcut()|L4315,TryResolveCustomShortcut,TryResolveCustomShortcut(),4315,4338,24,,,,,0,0,0,0
Method|HandleViewModelInitializationFailure(Exception)|L4340,HandleViewModelInitializationFailure,HandleViewModelInitializationFailure(Exception),4340,4356,17,DisposeCurrentViewModel,Method|DisposeCurrentViewModel()|L3669,,,1,1,0,0
Method|ReloadViewModelAsync()|L4358,ReloadViewModelAsync,ReloadViewModelAsync(),4358,4420,63,ApplyColumnVisibilityPreferencesToViewModel;ApplyPlayerIdentityToUiAndCloudStore;AttachToModsView;DisposeViewModel;InitializeViewModelAsync;RefreshDeleteCachedModsMenuHeaderAsync;StartModsWatcher;StopGameSessionMonitor;StopModsWatcher;UpdateGameVersionMenuItem,"Method|ApplyColumnVisibilityPreferencesToViewModel()|L576;Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701;Method|AttachToModsView(ICollectionView?,bool)|L13381;Method|DisposeViewModel(MainViewModel?)|L3680;Method|InitializeViewModelAsync(MainViewModel)|L3638;Method|RefreshDeleteCachedModsMenuHeaderAsync()|L7274;Method|StartModsWatcher()|L3689;Method|StopGameSessionMonitor()|L3734;Method|StopModsWatcher()|L4138;Method|UpdateGameVersionMenuItem(string?)|L1602",,,10,10,0,0
"Method|PromptForDirectory(string,string?,PathValidator,bool)|L4422",PromptForDirectory,"PromptForDirectory(string,string?,PathValidator,bool)",4422,4462,41,,,,,0,0,0,0
"Method|PromptForConfigFile(ModListItemViewModel,string?)|L4464",PromptForConfigFile,"PromptForConfigFile(ModListItemViewModel,string?)",4464,4493,30,GetInitialConfigDirectory,Method|GetInitialConfigDirectory(string?)|L4495,,,1,1,0,0
Method|GetInitialConfigDirectory(string?)|L4495,GetInitialConfigDirectory,GetInitialConfigDirectory(string?),4495,4517,23,,,,,0,0,0,0
"Method|TryValidateDataDirectory(string?,out string?,out string?)|L4519",TryValidateDataDirectory,"TryValidateDataDirectory(string?,out string?,out string?)",4519,4557,39,,,,,0,0,0,0
"Method|TryValidateGameDirectory(string?,out string?,out string?)|L4559",TryValidateGameDirectory,"TryValidateGameDirectory(string?,out string?,out string?)",4559,4608,50,,,,,0,0,0,0
"Method|ModsDataGrid_OnSorting(object,DataGridSortingEventArgs)|L4614",ModsDataGrid_OnSorting,"ModsDataGrid_OnSorting(object,DataGridSortingEventArgs)",4614,4632,19,ApplyModListSort,"Method|ApplyModListSort(string,ListSortDirection,bool)|L3431",,,1,1,0,0
"Method|ModsDataGrid_OnSelectionChanged(object,SelectionChangedEventArgs)|L4634",ModsDataGrid_OnSelectionChanged,"ModsDataGrid_OnSelectionChanged(object,SelectionChangedEventArgs)",4634,4646,13,,,,,0,0,0,0
"Method|ModsDataGrid_OnPreviewKeyDown(object,KeyEventArgs)|L4648",ModsDataGrid_OnPreviewKeyDown,"ModsDataGrid_OnPreviewKeyDown(object,KeyEventArgs)",4648,4651,4,TryHandleModListKeyDownAsync,Method|TryHandleModListKeyDownAsync(KeyEventArgs)|L4724,,,1,1,0,0
"Method|MainWindow_OnPreviewKeyDown(object,KeyEventArgs)|L4653",MainWindow_OnPreviewKeyDown,"MainWindow_OnPreviewKeyDown(object,KeyEventArgs)",4653,4656,4,TryHandleModListKeyDownAsync,Method|TryHandleModListKeyDownAsync(KeyEventArgs)|L4724,,,1,1,0,0
"Method|UserReportsButton_OnClick(object,RoutedEventArgs)|L4658",UserReportsButton_OnClick,"UserReportsButton_OnClick(object,RoutedEventArgs)",4658,4722,65,EnsureUserReportVotingConsent,Method|EnsureUserReportVotingConsent()|L3273,,,1,1,0,0
Method|TryHandleModListKeyDownAsync(KeyEventArgs)|L4724,TryHandleModListKeyDownAsync,TryHandleModListKeyDownAsync(KeyEventArgs),4724,4755,32,DeleteSelectedModsAsync;SelectAllModsInCurrentView,Method|DeleteSelectedModsAsync()|L5167;Method|SelectAllModsInCurrentView()|L13473,,,2,2,0,0
"Method|ModsDataGrid_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)|L4757",ModsDataGrid_OnPreviewMouseLeftButtonDown,"ModsDataGrid_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)",4757,4779,23,ClearSelection;FindAncestor;ShouldIgnoreRowSelection,Method|ClearSelection(bool)|L13537;Method|FindAncestor<T>(DependencyObject?)|L13348;Method|ShouldIgnoreRowSelection(DependencyObject?)|L13839,,,3,3,0,0
"Method|ModsDataGridRow_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)|L4781",ModsDataGridRow_OnPreviewMouseLeftButtonDown,"ModsDataGridRow_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)",4781,4796,16,HandleModRowSelection;ShouldIgnoreRowSelection,Method|HandleModRowSelection(ModListItemViewModel)|L13428;Method|ShouldIgnoreRowSelection(DependencyObject?)|L13839,,,2,2,0,0
"Method|ModDatabaseCard_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)|L4798",ModDatabaseCard_OnPreviewMouseLeftButtonDown,"ModDatabaseCard_OnPreviewMouseLeftButtonDown(object,MouseButtonEventArgs)",4798,4813,16,HandleModRowSelection;ShouldIgnoreRowSelection,Method|HandleModRowSelection(ModListItemViewModel)|L13428;Method|ShouldIgnoreRowSelection(DependencyObject?)|L13839,,,2,2,0,0
"Method|ModsDataGridRow_OnLoaded(object,RoutedEventArgs)|L4815",ModsDataGridRow_OnLoaded,"ModsDataGridRow_OnLoaded(object,RoutedEventArgs)",4815,4828,14,AreHoverOverlaysSuppressed;ResetRowOverlays;SetRowIsHovered;UpdateRowModSubscription,"Method|AreHoverOverlaysSuppressed()|L4915;Method|ResetRowOverlays(DataGridRow)|L4877;Method|SetRowIsHovered(DataGridRow,bool)|L5010;Method|UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)|L4958",,,4,4,0,0
"Method|ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs)|L4830",ModsDataGridRow_OnDataContextChanged,"ModsDataGridRow_OnDataContextChanged(object,DependencyPropertyChangedEventArgs)",4830,4839,10,AreHoverOverlaysSuppressed;ResetRowOverlays;UpdateRowModSubscription,"Method|AreHoverOverlaysSuppressed()|L4915;Method|ResetRowOverlays(DataGridRow)|L4877;Method|UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)|L4958",,,3,3,0,0
"Method|ModsDataGridRow_OnUnloaded(object,RoutedEventArgs)|L4841",ModsDataGridRow_OnUnloaded,"ModsDataGridRow_OnUnloaded(object,RoutedEventArgs)",4841,4851,11,AreHoverOverlaysSuppressed;ClearRowOverlayValues;SetRowIsHovered;UpdateRowModSubscription,"Method|AreHoverOverlaysSuppressed()|L4915;Method|ClearRowOverlayValues(DataGridRow)|L4930;Method|SetRowIsHovered(DataGridRow,bool)|L5010;Method|UpdateRowModSubscription(DataGridRow,ModListItemViewModel?)|L4958",,,4,4,0,0
"Method|ModsDataGridRow_OnMouseEnter(object,MouseEventArgs)|L4853",ModsDataGridRow_OnMouseEnter,"ModsDataGridRow_OnMouseEnter(object,MouseEventArgs)",4853,4863,11,AreHoverOverlaysSuppressed;ResetRowOverlays;SetRowIsHovered,"Method|AreHoverOverlaysSuppressed()|L4915;Method|ResetRowOverlays(DataGridRow)|L4877;Method|SetRowIsHovered(DataGridRow,bool)|L5010",,,3,3,0,0
"Method|ModsDataGridRow_OnMouseLeave(object,MouseEventArgs)|L4865",ModsDataGridRow_OnMouseLeave,"ModsDataGridRow_OnMouseLeave(object,MouseEventArgs)",4865,4875,11,AreHoverOverlaysSuppressed;ResetRowOverlays;SetRowIsHovered,"Method|AreHoverOverlaysSuppressed()|L4915;Method|ResetRowOverlays(DataGridRow)|L4877;Method|SetRowIsHovered(DataGridRow,bool)|L5010",,,3,3,0,0
Method|ResetRowOverlays(DataGridRow)|L4877,ResetRowOverlays,ResetRowOverlays(DataGridRow),4877,4913,37,AreHoverEffectsDisabled;AreHoverOverlaysSuppressed;GetRowIsHovered,Method|AreHoverEffectsDisabled(DependencyObject)|L4925;Method|AreHoverOverlaysSuppressed(DataGridRow)|L4920;Method|GetRowIsHovered(DataGridRow)|L5015,,,3,3,0,0
Method|AreHoverOverlaysSuppressed()|L4915,AreHoverOverlaysSuppressed,AreHoverOverlaysSuppressed(),4915,4918,4,,,,,0,0,0,0
Method|AreHoverOverlaysSuppressed(DataGridRow)|L4920,AreHoverOverlaysSuppressed,AreHoverOverlaysSuppressed(DataGridRow),4920,4923,4,,,,,0,0,0,0
Method|AreHoverEffectsDisabled(DependencyObject)|L4925,AreHoverEffectsDisabled,AreHoverEffectsDisabled(DependencyObject),4925,4928,4,,,,,0,0,0,0
Method|ClearRowOverlayValues(DataGridRow)|L4930,ClearRowOverlayValues,ClearRowOverlayValues(DataGridRow),4930,4940,11,,,,,0,0,0,0
Method|RefreshHoverOverlayState()|L4942,RefreshHoverOverlayState,RefreshHoverOverlayState(),4942,4946,5,RefreshRowHoverOverlays,Method|RefreshRowHoverOverlays(DataGrid?)|L4948,,,1,1,0,0
Method|RefreshRowHoverOverlays(DataGrid?)|L4948,RefreshRowHoverOverlays,RefreshRowHoverOverlays(DataGrid?),4948,4956,9,ResetRowOverlays,Method|ResetRowOverlays(DataGridRow)|L4877,,,1,1,0,0
