MemberId,Name,Signature,StartLine,EndLine,LineCount,CalledMethodNames,ResolvedTargetIds,AmbiguousMethodNames,UnresolvedMethodNames,CallCount,ResolvedCount,AmbiguousCount,UnresolvedCount
"Method|MainWindow_OnClosing(object?,CancelEventArgs)|L1107",MainWindow_OnClosing,"MainWindow_OnClosing(object?,CancelEventArgs)",1107,1150,44,DisposeCurrentViewModel;SaveUploaderName;SaveWindowDimensions,Method|DisposeCurrentViewModel()|L3669;Method|SaveUploaderName()|L1715;Method|SaveWindowDimensions()|L1654,,,3,3,0,0
"Method|RootGrid_OnSizeChanged(object,SizeChangedEventArgs)|L1152",RootGrid_OnSizeChanged,"RootGrid_OnSizeChanged(object,SizeChangedEventArgs)",1152,1157,6,EnsureModInfoPanelWithinBounds,Method|EnsureModInfoPanelWithinBounds(bool)|L1217,,,1,1,0,0
"Method|ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)|L1163",ModInfoBorder_OnMouseLeftButtonDown,"ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)",1163,1173,11,IsModInfoDragInitiationBlocked,Method|IsModInfoDragInitiationBlocked(DependencyObject?)|L1306,,,1,1,0,0
"Method|ModInfoBorder_OnMouseMove(object,MouseEventArgs)|L1175",ModInfoBorder_OnMouseMove,"ModInfoBorder_OnMouseMove(object,MouseEventArgs)",1175,1185,11,SetModInfoPanelPosition,"Method|SetModInfoPanelPosition(double,double,bool)|L1231",,,1,1,0,0
"Method|ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)|L1187",ModInfoBorder_OnMouseLeftButtonUp,"ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)",1187,1195,9,EnsureModInfoPanelWithinBounds,Method|EnsureModInfoPanelWithinBounds(bool)|L1217,,,1,1,0,0
"Method|ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)|L1197",ModInfoBorder_OnLostMouseCapture,"ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)",1197,1203,7,EnsureModInfoPanelWithinBounds,Method|EnsureModInfoPanelWithinBounds(bool)|L1217,,,1,1,0,0
Method|ApplyStoredModInfoPanelPosition()|L1205,ApplyStoredModInfoPanelPosition,ApplyStoredModInfoPanelPosition(),1205,1215,11,ComputeDefaultModInfoPanelLeft;SetModInfoPanelPosition,"Method|ComputeDefaultModInfoPanelLeft()|L1262;Method|SetModInfoPanelPosition(double,double,bool)|L1231",,,2,2,0,0
Method|EnsureModInfoPanelWithinBounds(bool)|L1217,EnsureModInfoPanelWithinBounds,EnsureModInfoPanelWithinBounds(bool),1217,1229,13,ComputeDefaultModInfoPanelLeft;SetModInfoPanelPosition,"Method|ComputeDefaultModInfoPanelLeft()|L1262;Method|SetModInfoPanelPosition(double,double,bool)|L1231",,,2,2,0,0
"Method|SetModInfoPanelPosition(double,double,bool)|L1231",SetModInfoPanelPosition,"SetModInfoPanelPosition(double,double,bool)",1231,1260,30,GetModInfoPanelHeight;GetModInfoPanelWidth;SetModInfoPanelPosition,"Method|GetModInfoPanelHeight()|L1296;Method|GetModInfoPanelWidth()|L1286;Method|SetModInfoPanelPosition(double,double,bool)|L1231",,,3,3,0,0
Method|ComputeDefaultModInfoPanelLeft()|L1262,ComputeDefaultModInfoPanelLeft,ComputeDefaultModInfoPanelLeft(),1262,1284,23,GetModInfoPanelWidth,Method|GetModInfoPanelWidth()|L1286,,,1,1,0,0
Method|GetModInfoPanelWidth()|L1286,GetModInfoPanelWidth,GetModInfoPanelWidth(),1286,1294,9,,,,,0,0,0,0
Method|GetModInfoPanelHeight()|L1296,GetModInfoPanelHeight,GetModInfoPanelHeight(),1296,1304,9,,,,,0,0,0,0
