MemberId,Name,Signature,StartLine,EndLine,CallerIds,CallerSignatures,CallerCount
Method|PerformMigrationAsync()|L753,PerformMigrationAsync,PerformMigrationAsync(),753,816,Method|CheckAndPromptMigrationAsync()|L719,CheckAndPromptMigrationAsync(),1
Method|TryShowModUsagePromptAsync()|L818,TryShowModUsagePromptAsync,TryShowModUsagePromptAsync(),818,863,Method|InitializeViewModelAsync(MainViewModel)|L3638;Method|ShowModUsagePromptDialogAsync()|L962,InitializeViewModelAsync(MainViewModel);ShowModUsagePromptDialogAsync(),2
Method|PrepareModUsagePromptData()|L865,PrepareModUsagePromptData,PrepareModUsagePromptData(),865,953,Method|ShowModUsagePromptDialogAsync()|L962;Method|TryShowModUsagePromptAsync()|L818,ShowModUsagePromptDialogAsync();TryShowModUsagePromptAsync(),2
Method|UpdateModUsagePromptIndicator(bool)|L955,UpdateModUsagePromptIndicator,UpdateModUsagePromptIndicator(bool),955,960,Method|ShowModUsagePromptDialogAsync()|L962;Method|TryShowModUsagePromptAsync()|L818,ShowModUsagePromptDialogAsync();TryShowModUsagePromptAsync(),2
Method|ShowModUsagePromptDialogAsync()|L962,ShowModUsagePromptDialogAsync,ShowModUsagePromptDialogAsync(),962,1086,"Method|ModUsagePromptLink_OnClick(object,RoutedEventArgs)|L6782","ModUsagePromptLink_OnClick(object,RoutedEventArgs)",1
"Method|EnsureInstalledModsCachedAsync(MainViewModel,bool)|L1088",EnsureInstalledModsCachedAsync,"EnsureInstalledModsCachedAsync(MainViewModel,bool)",1088,1105,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590","MainWindow_Loaded(object,RoutedEventArgs)",1
"Method|MainWindow_OnClosing(object?,CancelEventArgs)|L1107",MainWindow_OnClosing,"MainWindow_OnClosing(object?,CancelEventArgs)",1107,1150,,,0
"Method|RootGrid_OnSizeChanged(object,SizeChangedEventArgs)|L1152",RootGrid_OnSizeChanged,"RootGrid_OnSizeChanged(object,SizeChangedEventArgs)",1152,1157,,,0
"Method|ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)|L1163",ModInfoBorder_OnMouseLeftButtonDown,"ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)",1163,1173,,,0
"Method|ModInfoBorder_OnMouseMove(object,MouseEventArgs)|L1175",ModInfoBorder_OnMouseMove,"ModInfoBorder_OnMouseMove(object,MouseEventArgs)",1175,1185,,,0
"Method|ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)|L1187",ModInfoBorder_OnMouseLeftButtonUp,"ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)",1187,1195,,,0
"Method|ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)|L1197",ModInfoBorder_OnLostMouseCapture,"ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)",1197,1203,,,0
Method|ApplyStoredModInfoPanelPosition()|L1205,ApplyStoredModInfoPanelPosition,ApplyStoredModInfoPanelPosition(),1205,1215,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590","MainWindow_Loaded(object,RoutedEventArgs)",1
Method|EnsureModInfoPanelWithinBounds(bool)|L1217,EnsureModInfoPanelWithinBounds,EnsureModInfoPanelWithinBounds(bool),1217,1229,"Method|ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs)|L1197;Method|ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs)|L1187;Method|RootGrid_OnSizeChanged(object,SizeChangedEventArgs)|L1152","ModInfoBorder_OnLostMouseCapture(object,MouseEventArgs);ModInfoBorder_OnMouseLeftButtonUp(object,MouseButtonEventArgs);RootGrid_OnSizeChanged(object,SizeChangedEventArgs)",3
"Method|SetModInfoPanelPosition(double,double,bool)|L1231",SetModInfoPanelPosition,"SetModInfoPanelPosition(double,double,bool)",1231,1260,"Method|ApplyStoredModInfoPanelPosition()|L1205;Method|EnsureModInfoPanelWithinBounds(bool)|L1217;Method|ModInfoBorder_OnMouseMove(object,MouseEventArgs)|L1175;Method|SetModInfoPanelPosition(double,double,bool)|L1231","ApplyStoredModInfoPanelPosition();EnsureModInfoPanelWithinBounds(bool);ModInfoBorder_OnMouseMove(object,MouseEventArgs);SetModInfoPanelPosition(double,double,bool)",4
Method|ComputeDefaultModInfoPanelLeft()|L1262,ComputeDefaultModInfoPanelLeft,ComputeDefaultModInfoPanelLeft(),1262,1284,Method|ApplyStoredModInfoPanelPosition()|L1205;Method|EnsureModInfoPanelWithinBounds(bool)|L1217,ApplyStoredModInfoPanelPosition();EnsureModInfoPanelWithinBounds(bool),2
Method|GetModInfoPanelWidth()|L1286,GetModInfoPanelWidth,GetModInfoPanelWidth(),1286,1294,"Method|ComputeDefaultModInfoPanelLeft()|L1262;Method|SetModInfoPanelPosition(double,double,bool)|L1231","ComputeDefaultModInfoPanelLeft();SetModInfoPanelPosition(double,double,bool)",2
Method|GetModInfoPanelHeight()|L1296,GetModInfoPanelHeight,GetModInfoPanelHeight(),1296,1304,"Method|SetModInfoPanelPosition(double,double,bool)|L1231","SetModInfoPanelPosition(double,double,bool)",1
Method|IsModInfoDragInitiationBlocked(DependencyObject?)|L1306,IsModInfoDragInitiationBlocked,IsModInfoDragInitiationBlocked(DependencyObject?),1306,1319,"Method|ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)|L1163","ModInfoBorder_OnMouseLeftButtonDown(object,MouseButtonEventArgs)",1
"Method|DisableAutoRefreshMenuItem_OnClick(object,RoutedEventArgs)|L1325",DisableAutoRefreshMenuItem_OnClick,"DisableAutoRefreshMenuItem_OnClick(object,RoutedEventArgs)",1325,1355,,,0
"Method|AutomaticDataBackupsMenuItem_OnClick(object,RoutedEventArgs)|L1357",AutomaticDataBackupsMenuItem_OnClick,"AutomaticDataBackupsMenuItem_OnClick(object,RoutedEventArgs)",1357,1390,,,0
"Method|DisableInternetAccessMenuItem_OnClick(object,RoutedEventArgs)|L1392",DisableInternetAccessMenuItem_OnClick,"DisableInternetAccessMenuItem_OnClick(object,RoutedEventArgs)",1392,1401,,,0
"Method|ThemeMenuItem_OnClick(object,RoutedEventArgs)|L1403",ThemeMenuItem_OnClick,"ThemeMenuItem_OnClick(object,RoutedEventArgs)",1403,1435,,,0
"Method|EditThemeMenuItem_OnClick(object,RoutedEventArgs)|L1437",EditThemeMenuItem_OnClick,"EditThemeMenuItem_OnClick(object,RoutedEventArgs)",1437,1440,,,0
"Method|UpdateThemeMenuSelection(ColorTheme,string?)|L1442",UpdateThemeMenuSelection,"UpdateThemeMenuSelection(ColorTheme,string?)",1442,1459,"Method|ShowCustomThemeEditor()|L1538;Method|ThemeMenuItem_OnClick(object,RoutedEventArgs)|L1403","ShowCustomThemeEditor();ThemeMenuItem_OnClick(object,RoutedEventArgs)",2
Method|GenerateSurprisePalette()|L1461,GenerateSurprisePalette,GenerateSurprisePalette(),1461,1469,"Method|ThemeMenuItem_OnClick(object,RoutedEventArgs)|L1403","ThemeMenuItem_OnClick(object,RoutedEventArgs)",1
Method|GenerateRandomColor(string)|L1471,GenerateRandomColor,GenerateRandomColor(string),1471,1486,Method|GenerateSurprisePalette()|L1461,GenerateSurprisePalette(),1
Method|RefreshCustomThemeMenuItems()|L1488,RefreshCustomThemeMenuItems,RefreshCustomThemeMenuItems(),1488,1536,Method|ShowCustomThemeEditor()|L1538,ShowCustomThemeEditor(),1
Method|ShowCustomThemeEditor()|L1538,ShowCustomThemeEditor,ShowCustomThemeEditor(),1538,1560,"Method|EditThemeMenuItem_OnClick(object,RoutedEventArgs)|L1437","EditThemeMenuItem_OnClick(object,RoutedEventArgs)",1
"Method|AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1562",AlwaysClearModlistsMenuItem_OnClick,"AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)",1562,1568,,,0
"Method|AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1570",AlwaysAddModlistsMenuItem_OnClick,"AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)",1570,1576,,,0
"Method|HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)|L1578",HandleModlistAutoLoadMenuClick,"HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)",1578,1585,"Method|AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1570;Method|AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)|L1562","AlwaysAddModlistsMenuItem_OnClick(object,RoutedEventArgs);AlwaysClearModlistsMenuItem_OnClick(object,RoutedEventArgs)",2
Method|SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior)|L1587,SetModlistAutoLoadBehavior,SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior),1587,1591,"Method|HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)|L1578","HandleModlistAutoLoadMenuClick(object,ModlistAutoLoadBehavior,ModlistAutoLoadBehavior)",1
Method|UpdateModlistAutoLoadMenu(ModlistAutoLoadBehavior)|L1593,UpdateModlistAutoLoadMenu,UpdateModlistAutoLoadMenu(ModlistAutoLoadBehavior),1593,1600,Method|SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior)|L1587,SetModlistAutoLoadBehavior(ModlistAutoLoadBehavior),1
Method|UpdateGameVersionMenuItem(string?)|L1602,UpdateGameVersionMenuItem,UpdateGameVersionMenuItem(string?),1602,1614,"Method|InitializeViewModel()|L2568;Method|OnActiveGameProfileChangedAsync()|L7572;Method|ReloadViewModelAsync()|L4358;Method|SelectGameFolderMenuItem_OnClick(object,RoutedEventArgs)|L7735","InitializeViewModel();OnActiveGameProfileChangedAsync();ReloadViewModelAsync();SelectGameFolderMenuItem_OnClick(object,RoutedEventArgs)",4
Method|ApplyStoredWindowDimensions()|L1616,ApplyStoredWindowDimensions,ApplyStoredWindowDimensions(),1616,1637,,,0
"Method|IsWindowPositionOnScreen(double,double)|L1639",IsWindowPositionOnScreen,"IsWindowPositionOnScreen(double,double)",1639,1652,Method|ApplyStoredWindowDimensions()|L1616,ApplyStoredWindowDimensions(),1
Method|SaveWindowDimensions()|L1654,SaveWindowDimensions,SaveWindowDimensions(),1654,1664,"Method|MainWindow_OnClosing(object?,CancelEventArgs)|L1107","MainWindow_OnClosing(object?,CancelEventArgs)",1
Method|SetUsernameDisplay(string?)|L1666,SetUsernameDisplay,SetUsernameDisplay(string?),1666,1671,Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701;Method|DetermineUploaderName(FirebaseModlistStore)|L10067;Method|SaveUploaderName()|L1715,ApplyPlayerIdentityToUiAndCloudStore();DetermineUploaderName(FirebaseModlistStore);SaveUploaderName(),3
Method|ResolveUploaderName(string?)|L1673,ResolveUploaderName,ResolveUploaderName(string?),1673,1699,Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701;Method|DetermineUploaderName(FirebaseModlistStore)|L10067;Method|GetUploaderNameForPdf()|L10053;Method|SaveUploaderName()|L1715,ApplyPlayerIdentityToUiAndCloudStore();DetermineUploaderName(FirebaseModlistStore);GetUploaderNameForPdf();SaveUploaderName(),4
Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701,ApplyPlayerIdentityToUiAndCloudStore,ApplyPlayerIdentityToUiAndCloudStore(),1701,1706,Method|InitializeViewModel()|L2568;Method|ReloadViewModelAsync()|L4358,InitializeViewModel();ReloadViewModelAsync(),2
Method|ApplyPlayerIdentityToCloudStore(FirebaseModlistStore?)|L1708,ApplyPlayerIdentityToCloudStore,ApplyPlayerIdentityToCloudStore(FirebaseModlistStore?),1708,1713,Method|ApplyPlayerIdentityToUiAndCloudStore()|L1701;Method|EnsureCloudStoreInitializedAsync()|L11557,ApplyPlayerIdentityToUiAndCloudStore();EnsureCloudStoreInitializedAsync(),2
Method|SaveUploaderName()|L1715,SaveUploaderName,SaveUploaderName(),1715,1721,"Method|MainWindow_OnClosing(object?,CancelEventArgs)|L1107","MainWindow_OnClosing(object?,CancelEventArgs)",1
"Method|EnableServerOptionsMenuItem_OnClick(object,RoutedEventArgs)|L1723",EnableServerOptionsMenuItem_OnClick,"EnableServerOptionsMenuItem_OnClick(object,RoutedEventArgs)",1723,1730,,,0
"Method|UseFasterThumbnailsMenuItem_OnClick(object,RoutedEventArgs)|L1732",UseFasterThumbnailsMenuItem_OnClick,"UseFasterThumbnailsMenuItem_OnClick(object,RoutedEventArgs)",1732,1738,,,0
"Method|DisableHoverEffectsMenuItem_OnClick(object,RoutedEventArgs)|L1740",DisableHoverEffectsMenuItem_OnClick,"DisableHoverEffectsMenuItem_OnClick(object,RoutedEventArgs)",1740,1751,,,0
"Method|LogModUpdateMenuItem_OnClick(object,RoutedEventArgs)|L1753",LogModUpdateMenuItem_OnClick,"LogModUpdateMenuItem_OnClick(object,RoutedEventArgs)",1753,1759,,,0
"Method|LogModInstallMenuItem_OnClick(object,RoutedEventArgs)|L1761",LogModInstallMenuItem_OnClick,"LogModInstallMenuItem_OnClick(object,RoutedEventArgs)",1761,1767,,,0
"Method|LogModDeletionMenuItem_OnClick(object,RoutedEventArgs)|L1769",LogModDeletionMenuItem_OnClick,"LogModDeletionMenuItem_OnClick(object,RoutedEventArgs)",1769,1775,,,0
"Method|LogAppLifecycleMenuItem_OnClick(object,RoutedEventArgs)|L1777",LogAppLifecycleMenuItem_OnClick,"LogAppLifecycleMenuItem_OnClick(object,RoutedEventArgs)",1777,1783,,,0
"Method|LogErrorsAndExceptionsMenuItem_OnClick(object,RoutedEventArgs)|L1785",LogErrorsAndExceptionsMenuItem_OnClick,"LogErrorsAndExceptionsMenuItem_OnClick(object,RoutedEventArgs)",1785,1792,,,0
Method|InitializeTraceListener()|L1794,InitializeTraceListener,InitializeTraceListener(),1794,1811,"Method|LogErrorsAndExceptionsMenuItem_OnClick(object,RoutedEventArgs)|L1785","LogErrorsAndExceptionsMenuItem_OnClick(object,RoutedEventArgs)",1
Method|UpdateLoggingMenuState()|L1813,UpdateLoggingMenuState,UpdateLoggingMenuState(),1813,1825,,,0
"Method|GenerateServerInstallMacroMenuItem_OnClick(object,RoutedEventArgs)|L1827",GenerateServerInstallMacroMenuItem_OnClick,"GenerateServerInstallMacroMenuItem_OnClick(object,RoutedEventArgs)",1827,1976,,,0
"Method|CacheAllVersionsMenuItem_OnClick(object,RoutedEventArgs)|L1978",CacheAllVersionsMenuItem_OnClick,"CacheAllVersionsMenuItem_OnClick(object,RoutedEventArgs)",1978,1984,,,0
"Method|RequireExactVsVersionMenuItem_OnClick(object,RoutedEventArgs)|L1986",RequireExactVsVersionMenuItem_OnClick,"RequireExactVsVersionMenuItem_OnClick(object,RoutedEventArgs)",1986,1992,,,0
"Method|ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L1994",ExperimentalModDebuggingMenuItem_OnClick,"ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)",1994,2060,,,0
"Method|ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L2062",ExperimentalAllModsDebuggingMenuItem_OnClick,"ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)",2062,2155,,,0
"Method|CollectExperimentalModDebugLines(string,string)|L2157",CollectExperimentalModDebugLines,"CollectExperimentalModDebugLines(string,string)",2157,2165,"Method|ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L1994","ExperimentalModDebuggingMenuItem_OnClick(object,RoutedEventArgs)",1
"Method|CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)|L2167",CollectInstalledModDebugLines,"CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)",2167,2178,"Method|ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)|L2062","ExperimentalAllModsDebuggingMenuItem_OnClick(object,RoutedEventArgs)",1
Method|GetExperimentalModDebugFilePaths(string)|L2180,GetExperimentalModDebugFilePaths,GetExperimentalModDebugFilePaths(string),2180,2211,"Method|CollectExperimentalModDebugLines(string,string)|L2157;Method|CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)|L2167","CollectExperimentalModDebugLines(string,string);CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)",2
"Method|AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)|L2213",AppendExperimentalModDebugLines,"AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)",2213,2239,"Method|CollectExperimentalModDebugLines(string,string)|L2157","CollectExperimentalModDebugLines(string,string)",1
"Method|AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)|L2241",AppendInstalledModDebugLines,"AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)",2241,2272,"Method|CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)|L2167","CollectInstalledModDebugLines(string,IReadOnlyList<InstalledModLogIdentifier>)",1
"Method|AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)|L2274",AppendExperimentalModDebugFileSection,"AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)",2274,2286,,,0
"Method|AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)|L2288",AppendExperimentalModDebugFileSectionWithModId,"AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)",2288,2304,"Method|AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)|L2213","AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)",1
"Method|AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)|L2306",AppendExperimentalModDebugFileSectionWithMods,"AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)",2306,2321,"Method|AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)|L2241","AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)",1
Method|ShouldIgnoreExperimentalModDebugLine(string)|L2323,ShouldIgnoreExperimentalModDebugLine,ShouldIgnoreExperimentalModDebugLine(string),2323,2330,"Method|AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string)|L2213;Method|AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)|L2241","AppendExperimentalModDebugLines(List<ExperimentalModDebugLogLine>,string,string);AppendInstalledModDebugLines(List<ExperimentalModDebugLogLine>,string,IReadOnlyList<InstalledModLogIdentifier>)",2
Method|SummarizePatchMissingLines(List<string>)|L2332,SummarizePatchMissingLines,SummarizePatchMissingLines(List<string>),2332,2386,"Method|AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)|L2274","AppendExperimentalModDebugFileSection(List<ExperimentalModDebugLogLine>,string,List<string>)",1
"Method|SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)|L2388",SummarizePatchMissingLinesWithLineNumbers,"SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)",2388,2446,"Method|AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)|L2288","AppendExperimentalModDebugFileSectionWithModId(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, int LineNumber)>,string)",1
"Method|AddOrIncrementSummary(List<string>,Dictionary<string, (int Index, int HiddenCount)>,string,string)|L2448",AddOrIncrementSummary,"AddOrIncrementSummary(List<string>,Dictionary<string, (int Index, int HiddenCount)>,string,string)",2448,2463,Method|SummarizePatchMissingLines(List<string>)|L2332,SummarizePatchMissingLines(List<string>),1
"Method|AddOrIncrementSummaryWithLineNumber(List<(string Line, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,int,string)|L2465",AddOrIncrementSummaryWithLineNumber,"AddOrIncrementSummaryWithLineNumber(List<(string Line, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,int,string)",2465,2481,"Method|SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)|L2388","SummarizePatchMissingLinesWithLineNumbers(List<(string Line, int LineNumber)>)",1
"Method|SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)|L2483",SummarizePatchMissingLinesWithModAndLineNumbers,"SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)",2483,2543,"Method|AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)|L2306","AppendExperimentalModDebugFileSectionWithMods(List<ExperimentalModDebugLogLine>,string,string,List<(string Line, string ModName, int LineNumber)>)",1
"Method|AddOrIncrementSummaryWithModAndLineNumber(List<(string Line, string ModName, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,string,int,string)|L2545",AddOrIncrementSummaryWithModAndLineNumber,"AddOrIncrementSummaryWithModAndLineNumber(List<(string Line, string ModName, int LineNumber)>,Dictionary<string, (int Index, int HiddenCount)>,string,string,int,string)",2545,2562,"Method|SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)|L2483","SummarizePatchMissingLinesWithModAndLineNumbers(List<(string Line, string ModName, int LineNumber)>)",1
Method|InitializeViewModel()|L2568,InitializeViewModel,InitializeViewModel(),2568,2593,,,0
Method|InitializeModBrowserView()|L2595,InitializeModBrowserView,InitializeModBrowserView(),2595,2620,,,0
Method|InitializeVotesCacheWatcher()|L2622,InitializeVotesCacheWatcher,InitializeVotesCacheWatcher(),2622,2636,Method|InitializeModBrowserView()|L2595,InitializeModBrowserView(),1
"Method|OnVotesCacheChanged(object?,EventArgs)|L2638",OnVotesCacheChanged,"OnVotesCacheChanged(object?,EventArgs)",2638,2657,,,0
Method|SubscribeModBrowserToDirectoryWatcher()|L2659,SubscribeModBrowserToDirectoryWatcher,SubscribeModBrowserToDirectoryWatcher(),2659,2665,Method|InitializeViewModel()|L2568,InitializeViewModel(),1
Method|UnsubscribeModBrowserFromDirectoryWatcher()|L2667,UnsubscribeModBrowserFromDirectoryWatcher,UnsubscribeModBrowserFromDirectoryWatcher(),2667,2673,Method|OnClosed(EventArgs)|L14279,OnClosed(EventArgs),1
"Method|ModsWatcherOnChangesDetected(object?,EventArgs)|L2675",ModsWatcherOnChangesDetected,"ModsWatcherOnChangesDetected(object?,EventArgs)",2675,2691,,,0
Method|SyncInstalledModsToModBrowser()|L2693,SyncInstalledModsToModBrowser,SyncInstalledModsToModBrowser(),2693,2714,"Method|MainWindow_Loaded(object,RoutedEventArgs)|L590;Method|RefreshModsAsync(bool)|L4175","MainWindow_Loaded(object,RoutedEventArgs);RefreshModsAsync(bool)",2
Method|AddModToInstalledAndRemoveFromSearch(int)|L2716,AddModToInstalledAndRemoveFromSearch,AddModToInstalledAndRemoveFromSearch(int),2716,2734,Method|InstallModFromBrowserAsync(DownloadableMod)|L2736,InstallModFromBrowserAsync(DownloadableMod),1
Method|InstallModFromBrowserAsync(DownloadableMod)|L2736,InstallModFromBrowserAsync,InstallModFromBrowserAsync(DownloadableMod),2736,2842,,,0
Method|ConvertToModListItemViewModel(DownloadableMod)|L2848,ConvertToModListItemViewModel,ConvertToModListItemViewModel(DownloadableMod),2848,2914,Method|InstallModFromBrowserAsync(DownloadableMod)|L2736,InstallModFromBrowserAsync(DownloadableMod),1
Method|ConvertToModReleaseInfo(DownloadableModRelease)|L2920,ConvertToModReleaseInfo,ConvertToModReleaseInfo(DownloadableModRelease),2920,2944,,,0
"Method|OnUserReportVoteSubmitted(object?,ModUserReportChangedEventArgs)|L2946",OnUserReportVoteSubmitted,"OnUserReportVoteSubmitted(object?,ModUserReportChangedEventArgs)",2946,2961,,,0
"Method|ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)|L2963",ViewModelOnPropertyChanged,"ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)",2963,3044,,,0
Method|UpdateSearchColumnVisibility(bool)|L3046,UpdateSearchColumnVisibility,UpdateSearchColumnVisibility(bool),3046,3049,,,0
Method|HandleModlistsVisibilityChanged(bool)|L3051,HandleModlistsVisibilityChanged,HandleModlistsVisibilityChanged(bool),3051,3073,"Method|ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)|L2963","ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)",1
"Method|MiddleTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3075",MiddleTabControl_OnSelectionChanged,"MiddleTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",3075,3113,,,0
Method|UpdateModBrowserTabVisibilityState(bool)|L3115,UpdateModBrowserTabVisibilityState,UpdateModBrowserTabVisibilityState(bool),3115,3129,"Method|InitializeModBrowserView()|L2595;Method|MiddleTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3075","InitializeModBrowserView();MiddleTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",2
Method|SyncMiddleTabControlToViewModel()|L3131,SyncMiddleTabControlToViewModel,SyncMiddleTabControlToViewModel(),3131,3157,"Method|ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)|L2963","ViewModelOnPropertyChanged(object?,PropertyChangedEventArgs)",1
"Method|ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3159",ModlistsTabControl_OnSelectionChanged,"ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",3159,3194,,,0
"Method|ModlistsTabControl_OnLoaded(object,RoutedEventArgs)|L3196",ModlistsTabControl_OnLoaded,"ModlistsTabControl_OnLoaded(object,RoutedEventArgs)",3196,3199,,,0
Method|ApplyPreferredModlistsTabSelection()|L3201,ApplyPreferredModlistsTabSelection,ApplyPreferredModlistsTabSelection(),3201,3211,"Method|HandleModlistsVisibilityChanged(bool)|L3051;Method|ModlistsTabControl_OnLoaded(object,RoutedEventArgs)|L3196","HandleModlistsVisibilityChanged(bool);ModlistsTabControl_OnLoaded(object,RoutedEventArgs)",2
"Method|InternetAccessManager_OnInternetAccessChanged(object?,EventArgs)|L3213",InternetAccessManager_OnInternetAccessChanged,"InternetAccessManager_OnInternetAccessChanged(object?,EventArgs)",3213,3225,,,0
Method|EnsureCloudModlistsConsent()|L3227,EnsureCloudModlistsConsent,EnsureCloudModlistsConsent(),3227,3238,"Method|ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3159","ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",1
Method|EnsureFirebaseAuthConsent(string)|L3240,EnsureFirebaseAuthConsent,EnsureFirebaseAuthConsent(string),3240,3265,Method|EnsureCloudModlistsConsent()|L3227;Method|EnsureUserReportVotingConsent()|L3273,EnsureCloudModlistsConsent();EnsureUserReportVotingConsent(),2
Method|HasFirebaseAuthStateFile()|L3267,HasFirebaseAuthStateFile,HasFirebaseAuthStateFile(),3267,3271,"Method|ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)|L3159","ModlistsTabControl_OnSelectionChanged(object,SelectionChangedEventArgs)",1
