MemberId,Type,Name,Signature,StartLine,EndLine,LineCount,Modifiers,ReturnType,Parameters
Field|ConnectivityTestHttpClient|L136,Field,ConnectivityTestHttpClient,ConnectivityTestHttpClient,136,139,4,private static readonly,HttpClient,
Field|ExperimentalModDebugLogPrefixes|L141,Field,ExperimentalModDebugLogPrefixes,ExperimentalModDebugLogPrefixes,141,147,7,private static readonly,string[],
Field|ExperimentalModDebugLogExtensions|L149,Field,ExperimentalModDebugLogExtensions,ExperimentalModDebugLogExtensions,149,153,5,private static readonly,string[],
Field|ExperimentalModDebugIgnoredLinePhrases|L155,Field,ExperimentalModDebugIgnoredLinePhrases,ExperimentalModDebugIgnoredLinePhrases,155,163,9,private static readonly,string[],
Field|SupportedConfigExtensions|L165,Field,SupportedConfigExtensions,SupportedConfigExtensions,165,170,6,private static readonly,string[],
Field|SummarizableLinePrefixes|L173,Field,SummarizableLinePrefixes,SummarizableLinePrefixes,173,183,11,private static readonly,string[],
Field|_isQuestPdfLicenseInitialized|L185,Field,_isQuestPdfLicenseInitialized,_isQuestPdfLicenseInitialized,185,185,1,private static,bool,
Field|PatchAssetMissingRegex|L187,Field,PatchAssetMissingRegex,PatchAssetMissingRegex,187,189,3,private static readonly,Regex,
Field|StandardPresetLoadOptions|L191,Field,StandardPresetLoadOptions,StandardPresetLoadOptions,191,191,1,private static readonly,PresetLoadOptions,
Field|ModListLoadOptions|L192,Field,ModListLoadOptions,ModListLoadOptions,192,192,1,private static readonly,PresetLoadOptions,
Field|BoundModProperty|L198,Field,BoundModProperty,BoundModProperty,198,202,5,private static readonly,DependencyProperty,
Field|BoundModHandlerProperty|L204,Field,BoundModHandlerProperty,BoundModHandlerProperty,204,208,5,private static readonly,DependencyProperty,
Field|RowIsHoveredProperty|L210,Field,RowIsHoveredProperty,RowIsHoveredProperty,210,214,5,private static readonly,DependencyProperty,
Field|IsDataBackupInProgressProperty|L216,Field,IsDataBackupInProgressProperty,IsDataBackupInProgressProperty,216,221,6,public static readonly,DependencyProperty,
Field|DataBackupProgressProperty|L223,Field,DataBackupProgressProperty,DataBackupProgressProperty,223,228,6,public static readonly,DependencyProperty,
Field|DataBackupStatusMessageProperty|L230,Field,DataBackupStatusMessageProperty,DataBackupStatusMessageProperty,230,235,6,public static readonly,DependencyProperty,
Field|IsModlistInstallInProgressProperty|L237,Field,IsModlistInstallInProgressProperty,IsModlistInstallInProgressProperty,237,242,6,public static readonly,DependencyProperty,
Field|ModlistInstallProgressProperty|L244,Field,ModlistInstallProgressProperty,ModlistInstallProgressProperty,244,249,6,public static readonly,DependencyProperty,
Field|ModlistInstallStatusMessageProperty|L251,Field,ModlistInstallStatusMessageProperty,ModlistInstallStatusMessageProperty,251,256,6,public static readonly,DependencyProperty,
Field|ModlistDownloadSpeedProperty|L258,Field,ModlistDownloadSpeedProperty,ModlistDownloadSpeedProperty,258,263,6,public static readonly,DependencyProperty,
Field|HasModlistDownloadSpeedProperty|L265,Field,HasModlistDownloadSpeedProperty,HasModlistDownloadSpeedProperty,265,270,6,public static readonly,DependencyProperty,
Property|IsDataBackupInProgress|L272,Property,IsDataBackupInProgress,IsDataBackupInProgress,272,276,5,public,bool,
Property|DataBackupProgress|L278,Property,DataBackupProgress,DataBackupProgress,278,282,5,public,double,
Property|DataBackupStatusMessage|L284,Property,DataBackupStatusMessage,DataBackupStatusMessage,284,288,5,public,string,
Property|IsModlistInstallInProgress|L290,Property,IsModlistInstallInProgress,IsModlistInstallInProgress,290,294,5,public,bool,
Property|ModlistInstallProgress|L296,Property,ModlistInstallProgress,ModlistInstallProgress,296,300,5,public,double,
Property|ModlistInstallStatusMessage|L302,Property,ModlistInstallStatusMessage,ModlistInstallStatusMessage,302,306,5,public,string,
Property|ModlistDownloadSpeed|L308,Property,ModlistDownloadSpeed,ModlistDownloadSpeed,308,312,5,public,string,
Property|HasModlistDownloadSpeed|L314,Property,HasModlistDownloadSpeed,HasModlistDownloadSpeed,314,318,5,public,bool,
Field|_backupSemaphore|L325,Field,_backupSemaphore,_backupSemaphore,325,325,1,private readonly,SemaphoreSlim,
Field|_cloudStoreLock|L326,Field,_cloudStoreLock,_cloudStoreLock,326,326,1,private readonly,SemaphoreSlim,
Field|_developerProfileMenuItems|L329,Field,_developerProfileMenuItems,_developerProfileMenuItems,329,329,1,private readonly,List<MenuItem>,
Field|_gameProfileMenuItems|L330,Field,_gameProfileMenuItems,_gameProfileMenuItems,330,330,1,private readonly,List<MenuItem>,
Field|_installedColumnVisibilityPreferences|L331,Field,_installedColumnVisibilityPreferences,_installedColumnVisibilityPreferences,331,331,1,private readonly,"Dictionary<InstalledModsColumn, bool>",
Field|_modCompatibilityCommentsService|L334,Field,_modCompatibilityCommentsService,_modCompatibilityCommentsService,334,334,1,private readonly,ModCompatibilityCommentsService,
Field|_modDatabaseService|L335,Field,_modDatabaseService,_modDatabaseService,335,335,1,private readonly,ModDatabaseService,
Field|_modUpdateService|L336,Field,_modUpdateService,_modUpdateService,336,336,1,private readonly,ModUpdateService,
Field|_dataBackupService|L337,Field,_dataBackupService,_dataBackupService,337,337,1,private,DataBackupService,
Field|_modActivityLoggingService|L338,Field,_modActivityLoggingService,_modActivityLoggingService,338,338,1,private readonly,ModActivityLoggingService,
Field|_userConfiguration|L339,Field,_userConfiguration,_userConfiguration,339,339,1,private readonly,UserConfigurationService,
Field|_serverTargetService|L340,Field,_serverTargetService,_serverTargetService,340,340,1,private readonly,ServerTargetService,
Field|_syncEngine|L341,Field,_syncEngine,_syncEngine,341,341,1,private readonly,SyncEngine,
Field|_traceListener|L342,Field,_traceListener,_traceListener,342,342,1,private,ModManagerTraceListener?,
Field|_selectedModPropertyHandlers|L345,Field,_selectedModPropertyHandlers,_selectedModPropertyHandlers,345,345,1,private readonly,"Dictionary<ModListItemViewModel, PropertyChangedEventHandler>",
Field|_selectedMods|L346,Field,_selectedMods,_selectedMods,346,346,1,private readonly,List<ModListItemViewModel>,
Field|_selectedLocalModlists|L347,Field,_selectedLocalModlists,_selectedLocalModlists,347,347,1,private readonly,List<LocalModlistListEntry>,
Field|_selectedCloudModlist|L348,Field,_selectedCloudModlist,_selectedCloudModlist,348,348,1,private,CloudModlistListEntry?,
Field|_selectionAnchor|L349,Field,_selectionAnchor,_selectionAnchor,349,349,1,private,ModListItemViewModel?,
Field|_cloudModlistsLoaded|L352,Field,_cloudModlistsLoaded,_cloudModlistsLoaded,352,352,1,private,bool,
Field|_firebaseMigrationAttempted|L353,Field,_firebaseMigrationAttempted,_firebaseMigrationAttempted,353,353,1,private,bool,
Field|_cloudModlistStore|L354,Field,_cloudModlistStore,_cloudModlistStore,354,354,1,private,FirebaseModlistStore?,
Field|_currentModsView|L357,Field,_currentModsView,_currentModsView,357,357,1,private,ICollectionView?,
Field|_modsScrollViewer|L358,Field,_modsScrollViewer,_modsScrollViewer,358,358,1,private,ScrollViewer?,
Field|_modsScrollViewerSource|L359,Field,_modsScrollViewerSource,_modsScrollViewerSource,359,359,1,private,DataGrid?,
Field|_modsCollection|L360,Field,_modsCollection,_modsCollection,360,360,1,private,INotifyCollectionChanged?,
Field|_customShortcutPath|L363,Field,_customShortcutPath,_customShortcutPath,363,363,1,private,string?,
Field|_dataDirectory|L364,Field,_dataDirectory,_dataDirectory,364,364,1,private,string?,
Field|_gameDirectory|L365,Field,_gameDirectory,_gameDirectory,365,365,1,private,string?,
Field|_gameSessionMonitor|L368,Field,_gameSessionMonitor,_gameSessionMonitor,368,368,1,private,GameSessionMonitor?,
Field|_modsWatcherTimer|L369,Field,_modsWatcherTimer,_modsWatcherTimer,369,369,1,private,DispatcherTimer?,
Field|_modUsagePromptData|L370,Field,_modUsagePromptData,_modUsagePromptData,370,370,1,private,ModUsagePromptData?,
Field|_votesCacheWatcher|L371,Field,_votesCacheWatcher,_votesCacheWatcher,371,371,1,private,VotesCacheWatcher?,
Field|_hasAppliedInitialModInfoPanelPosition|L374,Field,_hasAppliedInitialModInfoPanelPosition,_hasAppliedInitialModInfoPanelPosition,374,374,1,private,bool,
Field|_isApplyingMultiToggle|L375,Field,_isApplyingMultiToggle,_isApplyingMultiToggle,375,375,1,private,bool,
Field|_isApplyingPreset|L376,Field,_isApplyingPreset,_isApplyingPreset,376,376,1,private,bool,
Field|_isAutomaticRefreshRunning|L377,Field,_isAutomaticRefreshRunning,_isAutomaticRefreshRunning,377,377,1,private,bool,
Field|_isCloudModlistRefreshInProgress|L378,Field,_isCloudModlistRefreshInProgress,_isCloudModlistRefreshInProgress,378,378,1,private,bool,
Field|_isDependencyResolutionRefreshPending|L379,Field,_isDependencyResolutionRefreshPending,_isDependencyResolutionRefreshPending,379,379,1,private,bool,
Field|_isDraggingModInfoPanel|L380,Field,_isDraggingModInfoPanel,_isDraggingModInfoPanel,380,380,1,private,bool,
Field|_isInitializing|L381,Field,_isInitializing,_isInitializing,381,381,1,private,bool,
Field|_isUpdatingModlistsTabSelection|L382,Field,_isUpdatingModlistsTabSelection,_isUpdatingModlistsTabSelection,382,382,1,private,bool,
Field|_isUpdatingMiddleTabSelection|L383,Field,_isUpdatingMiddleTabSelection,_isUpdatingMiddleTabSelection,383,383,1,private,bool,
