Source: C:\sc\games\Simple-Mod-Manager-Refactor\VintageStoryModManager\Views\MainWindow.xaml.cs
Class:  MainWindow
Lines:  80-14442
Members: 612

Type                 Name                                                            Start      End    Lines
Method               PrepareModUsagePromptData                                         865      953       89
Method               UpdateModUsagePromptIndicator                                     955      960        6
Method               ShowModUsagePromptDialogAsync                                     962     1086      125
Method               EnsureInstalledModsCachedAsync                                   1088     1105       18
Method               MainWindow_OnClosing                                             1107     1150       44
Method               RootGrid_OnSizeChanged                                           1152     1157        6
Method               ModInfoBorder_OnMouseLeftButtonDown                              1163     1173       11
Method               ModInfoBorder_OnMouseMove                                        1175     1185       11
Method               ModInfoBorder_OnMouseLeftButtonUp                                1187     1195        9
Method               ModInfoBorder_OnLostMouseCapture                                 1197     1203        7
Method               ApplyStoredModInfoPanelPosition                                  1205     1215       11
Method               EnsureModInfoPanelWithinBounds                                   1217     1229       13
Method               SetModInfoPanelPosition                                          1231     1260       30
Method               ComputeDefaultModInfoPanelLeft                                   1262     1284       23
Method               GetModInfoPanelWidth                                             1286     1294        9
Method               GetModInfoPanelHeight                                            1296     1304        9
Method               IsModInfoDragInitiationBlocked                                   1306     1319       14
Method               DisableAutoRefreshMenuItem_OnClick                               1325     1355       31
Method               AutomaticDataBackupsMenuItem_OnClick                             1357     1390       34
Method               DisableInternetAccessMenuItem_OnClick                            1392     1401       10
Method               ThemeMenuItem_OnClick                                            1403     1435       33
Method               EditThemeMenuItem_OnClick                                        1437     1440        4
Method               UpdateThemeMenuSelection                                         1442     1459       18
Method               GenerateSurprisePalette                                          1461     1469        9
Method               GenerateRandomColor                                              1471     1486       16
Method               RefreshCustomThemeMenuItems                                      1488     1536       49
Method               ShowCustomThemeEditor                                            1538     1560       23
Method               AlwaysClearModlistsMenuItem_OnClick                              1562     1568        7
Method               AlwaysAddModlistsMenuItem_OnClick                                1570     1576        7
Method               HandleModlistAutoLoadMenuClick                                   1578     1585        8
Method               SetModlistAutoLoadBehavior                                       1587     1591        5
Method               UpdateModlistAutoLoadMenu                                        1593     1600        8
Method               UpdateGameVersionMenuItem                                        1602     1614       13
Method               ApplyStoredWindowDimensions                                      1616     1637       22
Method               IsWindowPositionOnScreen                                         1639     1652       14
Method               SaveWindowDimensions                                             1654     1664       11
Method               SetUsernameDisplay                                               1666     1671        6
Method               ResolveUploaderName                                              1673     1699       27
Method               ApplyPlayerIdentityToUiAndCloudStore                             1701     1706        6
Method               ApplyPlayerIdentityToCloudStore                                  1708     1713        6
Method               SaveUploaderName                                                 1715     1721        7
Method               EnableServerOptionsMenuItem_OnClick                              1723     1730        8
Method               UseFasterThumbnailsMenuItem_OnClick                              1732     1738        7
Method               DisableHoverEffectsMenuItem_OnClick                              1740     1751       12
Method               LogModUpdateMenuItem_OnClick                                     1753     1759        7
Method               LogModInstallMenuItem_OnClick                                    1761     1767        7
Method               LogModDeletionMenuItem_OnClick                                   1769     1775        7
Method               LogAppLifecycleMenuItem_OnClick                                  1777     1783        7
Method               LogErrorsAndExceptionsMenuItem_OnClick                           1785     1792        8
Method               InitializeTraceListener                                          1794     1811       18
Method               UpdateLoggingMenuState                                           1813     1825       13
Method               GenerateServerInstallMacroMenuItem_OnClick                       1827     1976      150
Method               CacheAllVersionsMenuItem_OnClick                                 1978     1984        7
