FieldName,DeclaredInFile,ReadByMethods,WrittenByMethods,UsedByPartialFiles,UsageCount,CandidateOwnerPartial,Notes
_isInitializing,MainWindow.Core.cs,MainWindow.ModsWatcherTimer.cs::ModsWatcherTimerOnTick;MainWindow.ViewModel.cs::InitializeViewModelAsync,MainWindow.ViewModel.cs::InitializeViewModelAsync,MainWindow.ModsWatcherTimer.cs;MainWindow.ViewModel.cs,4,MainWindow.ViewModel.cs,Predominantly used by MainWindow.ViewModel.cs; consider moving field there.
_isModBrowserWatcherSubscribed,MainWindow.Core.cs,MainWindow.ModBrowserSynchronization.cs::SubscribeModBrowserToDirectoryWatcher;MainWindow.ModBrowserSynchronization.cs::UnsubscribeModBrowserFromDirectoryWatcher,MainWindow.ModBrowserSynchronization.cs::SubscribeModBrowserToDirectoryWatcher;MainWindow.ModBrowserSynchronization.cs::UnsubscribeModBrowserFromDirectoryWatcher,MainWindow.ModBrowserSynchronization.cs,4,MainWindow.ModBrowserSynchronization.cs,Predominantly used by MainWindow.ModBrowserSynchronization.cs; consider moving field there.
_isModUpdateInProgress,MainWindow.Core.cs,MainWindow.ModBrowserInstallation.cs::InstallModFromBrowserAsync;MainWindow.ModDependencyRepair.cs::FixModButton_OnClick;MainWindow.ModGridSelection.cs::UpdateSelectedModFixButton;MainWindow.ModInstallation.cs::InstallModButton_OnClick;MainWindow.ModUpdateCommands.cs::SelectedModVersionComboBox_OnSelectionChanged;MainWindow.ModUpdateCommands.cs::UpdateAllModsMenuItem_OnClick;MainWindow.ModUpdateCommands.cs::UpdateModButton_OnClick,MainWindow.ModDependencyRepair.cs::FixModButton_OnClick;MainWindow.ModInstallation.cs::InstallModCoreAsync;MainWindow.ModUpdateCommands.cs::UpdateModsAsync,MainWindow.ModBrowserInstallation.cs;MainWindow.ModDependencyRepair.cs;MainWindow.ModGridSelection.cs;MainWindow.ModInstallation.cs;MainWindow.ModUpdateCommands.cs,13,MainWindow.ModUpdateCommands.cs,Predominantly used by MainWindow.ModUpdateCommands.cs; consider moving field there.
_isModUsageDialogOpen,MainWindow.Core.cs,MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.ModUsage.cs::TryShowModUsagePromptAsync,MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync,MainWindow.ModUsage.cs,4,MainWindow.ModUsage.cs,Predominantly used by MainWindow.ModUsage.cs; consider moving field there.
_isRefreshingAfterModlistLoad,MainWindow.Core.cs,MainWindow.ModRefresh.cs::ScheduleRefreshAfterModlistLoadIfReady,MainWindow.ModRefresh.cs::ScheduleRefreshAfterModlistLoadIfReady,MainWindow.ModRefresh.cs,3,MainWindow.ModRefresh.cs,Predominantly used by MainWindow.ModRefresh.cs; consider moving field there.
_isUpdatingMiddleTabSelection,MainWindow.Core.cs,MainWindow.Navigation.cs::MiddleTabControl_OnSelectionChanged,MainWindow.Navigation.cs::SyncMiddleTabControlToViewModel,MainWindow.Navigation.cs,3,MainWindow.Navigation.cs,Predominantly used by MainWindow.Navigation.cs; consider moving field there.
_isUpdatingModlistsTabSelection,MainWindow.Core.cs,MainWindow.Navigation.cs::ModlistsTabControl_OnSelectionChanged,MainWindow.Navigation.cs::ModlistsTabControl_OnSelectionChanged,MainWindow.Navigation.cs,3,MainWindow.Navigation.cs,Predominantly used by MainWindow.Navigation.cs; consider moving field there.
_isWindowActive,MainWindow.Core.cs,MainWindow.WindowState.cs::OnActivated,MainWindow.WindowState.cs::OnActivated;MainWindow.WindowState.cs::OnDeactivated,MainWindow.WindowState.cs,3,MainWindow.WindowState.cs,Predominantly used by MainWindow.WindowState.cs; consider moving field there.
_localModlistsLoaded,MainWindow.Core.cs,MainWindow.LocalModlists.cs::RefreshLocalModlistsAsync,MainWindow.LocalModlists.cs::RefreshLocalModlistsAsync;MainWindow.ViewModel.cs::InitializeViewModel,MainWindow.LocalModlists.cs;MainWindow.ViewModel.cs,3,MainWindow.LocalModlists.cs,Predominantly used by MainWindow.LocalModlists.cs; consider moving field there.
_modActivityLoggingService,MainWindow.Core.cs,MainWindow.CloudAuth.cs::EnsureFirebaseAuthBackedUpIfAvailable;MainWindow.Logging.cs::InitializeTraceListener;MainWindow.ModDeletion.cs::TryDeleteModAtPathAsync;MainWindow.ModInstallation.cs::InstallModCoreAsync;MainWindow.ModUpdateCommands.cs::UpdateModsAsync;MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.PresetVersionApplication.cs::TryInstallPresetModAsync;MainWindow.Startup.cs::ClearManagerCachesForVersionUpdateAsync;MainWindow.Startup.cs::MainWindow_OnClosing;MainWindow.Startup.cs::MigrateLegacyRebuiltModlistsIfNeeded;MainWindow.ViewModel.cs::HandleViewModelInitializationFailure,,MainWindow.CloudAuth.cs;MainWindow.Logging.cs;MainWindow.ModDeletion.cs;MainWindow.ModInstallation.cs;MainWindow.ModUpdateCommands.cs;MainWindow.ModUsage.cs;MainWindow.PresetVersionApplication.cs;MainWindow.Startup.cs;MainWindow.ViewModel.cs,15,MainWindow.Startup.cs,Predominantly used by MainWindow.Startup.cs; consider moving field there.
_modBrowserViewModel,MainWindow.Core.cs,MainWindow.ModBrowser.cs::InitializeModBrowserView;MainWindow.ModBrowser.cs::OnUserReportVoteSubmitted;MainWindow.ModBrowserInstallation.cs::AddModToInstalledAndRemoveFromSearch;MainWindow.ModBrowserSynchronization.cs::ModsWatcherOnChangesDetected;MainWindow.ModBrowserSynchronization.cs::OnVotesCacheChanged;MainWindow.ModBrowserSynchronization.cs::SubscribeModBrowserToDirectoryWatcher;MainWindow.ModBrowserSynchronization.cs::SyncInstalledModsToModBrowser;MainWindow.Navigation.cs::UpdateModBrowserTabVisibilityState,MainWindow.ModBrowser.cs::InitializeModBrowserView,MainWindow.ModBrowser.cs;MainWindow.ModBrowserInstallation.cs;MainWindow.ModBrowserSynchronization.cs;MainWindow.Navigation.cs,21,MainWindow.ModBrowserSynchronization.cs,Predominantly used by MainWindow.ModBrowserSynchronization.cs; consider moving field there.
_modCompatibilityCommentsService,MainWindow.Core.cs,MainWindow.Compatibility.cs::ExperimentalCompReviewMenuItem_OnClick,,MainWindow.Compatibility.cs,1,MainWindow.Compatibility.cs,Predominantly used by MainWindow.Compatibility.cs; consider moving field there.
_modDatabaseService,MainWindow.Core.cs,MainWindow.ManagerUpdateLink.cs::RefreshManagerUpdateLinkAsync;MainWindow.ModDependencyRepair.cs::InstallOrUpdateDependencyAsync;MainWindow.PresetVersionApplication.cs::TryInstallPresetModAsync,,MainWindow.ManagerUpdateLink.cs;MainWindow.ModDependencyRepair.cs;MainWindow.PresetVersionApplication.cs,3,MainWindow.ManagerUpdateLink.cs,Predominantly used by MainWindow.ManagerUpdateLink.cs; consider moving field there.
_modInfoDragOffset,MainWindow.Core.cs,MainWindow.ModInfoPanel.cs::ModInfoBorder_OnMouseMove,MainWindow.ModInfoPanel.cs::ModInfoBorder_OnMouseLeftButtonDown,MainWindow.ModInfoPanel.cs,3,MainWindow.ModInfoPanel.cs,Predominantly used by MainWindow.ModInfoPanel.cs; consider moving field there.
_modSelection,MainWindow.Core.cs,MainWindow.ModGridSelection.cs::AddToSelection;MainWindow.ModGridSelection.cs::ClearModDatabaseSelections;MainWindow.ModGridSelection.cs::ClearSelection;MainWindow.ModGridSelection.cs::HandleModRowSelection;MainWindow.ModGridSelection.cs::RemoveFromSelection;MainWindow.ModGridSelection.cs::RestoreSelectionFromSourcePaths;MainWindow.ModGridSelection.cs::SelectAllModsInCurrentView,,MainWindow.ModGridSelection.cs,7,MainWindow.ModGridSelection.cs,Predominantly used by MainWindow.ModGridSelection.cs; consider moving field there.
_modUpdateService,MainWindow.Core.cs,MainWindow.ModUpdateCommands.cs::UpdateModsAsync,,MainWindow.ModUpdateCommands.cs,1,MainWindow.ModUpdateCommands.cs,Predominantly used by MainWindow.ModUpdateCommands.cs; consider moving field there.
_modUsagePromptData,MainWindow.Core.cs,MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.ModUsage.cs::TryShowModUsagePromptAsync,MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.ModUsage.cs::TryShowModUsagePromptAsync,MainWindow.ModUsage.cs,9,MainWindow.ModUsage.cs,Predominantly used by MainWindow.ModUsage.cs; consider moving field there.
_modlistInstallCompletedSteps,MainWindow.Core.cs,MainWindow.Progress.cs::CompleteModlistInstallStep;MainWindow.Progress.cs::UpdateModlistInstallUi,MainWindow.Progress.cs::BeginModlistInstallUi;MainWindow.Progress.cs::CompleteModlistInstallStep;MainWindow.Progress.cs::EndModlistInstallUi,MainWindow.Progress.cs,6,MainWindow.Progress.cs,Predominantly used by MainWindow.Progress.cs; consider moving field there.
_modlistInstallTotalSteps,MainWindow.Core.cs,MainWindow.Progress.cs::CompleteModlistInstallStep;MainWindow.Progress.cs::UpdateModlistInstallUi,MainWindow.Progress.cs::BeginModlistInstallUi;MainWindow.Progress.cs::EndModlistInstallUi,MainWindow.Progress.cs,4,MainWindow.Progress.cs,Predominantly used by MainWindow.Progress.cs; consider moving field there.
_modsCollection,MainWindow.Core.cs,MainWindow.ModGridViewState.cs::AttachToModsView,MainWindow.ModGridViewState.cs::AttachToModsView,MainWindow.ModGridViewState.cs,7,MainWindow.ModGridViewState.cs,Predominantly used by MainWindow.ModGridViewState.cs; consider moving field there.
_modsScrollViewer,MainWindow.Core.cs,MainWindow.ModGridScrolling.cs::GetModsScrollViewer,MainWindow.ModGridScrolling.cs::ClearScrollViewerCache;MainWindow.ModGridScrolling.cs::GetModsScrollViewer,MainWindow.ModGridScrolling.cs,5,MainWindow.ModGridScrolling.cs,Predominantly used by MainWindow.ModGridScrolling.cs; consider moving field there.
_modsScrollViewerSource,MainWindow.Core.cs,,MainWindow.ModGridScrolling.cs::ClearScrollViewerCache;MainWindow.ModGridScrolling.cs::GetModsScrollViewer,MainWindow.ModGridScrolling.cs,2,MainWindow.ModGridScrolling.cs,Predominantly used by MainWindow.ModGridScrolling.cs; consider moving field there.
_modsWatcherTimer,MainWindow.Core.cs,MainWindow.ModsWatcherTimer.cs::StartModsWatcher;MainWindow.ModsWatcherTimer.cs::StopModsWatcher,MainWindow.ModsWatcherTimer.cs::StartModsWatcher;MainWindow.ModsWatcherTimer.cs::StopModsWatcher,MainWindow.ModsWatcherTimer.cs,7,MainWindow.ModsWatcherTimer.cs,Predominantly used by MainWindow.ModsWatcherTimer.cs; consider moving field there.
_recentLocalModBackupDirectory,MainWindow.Core.cs,,MainWindow.ExclusivePresetApplication.cs::ApplyExclusivePresetAsync;MainWindow.PresetApplication.cs::ApplyPresetAsync,MainWindow.ExclusivePresetApplication.cs;MainWindow.PresetApplication.cs,2,MainWindow.ExclusivePresetApplication.cs,Predominantly used by MainWindow.ExclusivePresetApplication.cs; consider moving field there.
_recentLocalModBackupModNames,MainWindow.Core.cs,,MainWindow.ExclusivePresetApplication.cs::ApplyExclusivePresetAsync;MainWindow.PresetApplication.cs::ApplyPresetAsync,MainWindow.ExclusivePresetApplication.cs;MainWindow.PresetApplication.cs,2,MainWindow.ExclusivePresetApplication.cs,Predominantly used by MainWindow.ExclusivePresetApplication.cs; consider moving field there.
_refreshAfterModlistLoadPending,MainWindow.Core.cs,MainWindow.ModRefresh.cs::ScheduleRefreshAfterModlistLoadIfReady,MainWindow.ModRefresh.cs::ScheduleRefreshAfterModlistLoadIfReady;MainWindow.PresetApplication.cs::ApplyPresetAsync,MainWindow.ModRefresh.cs;MainWindow.PresetApplication.cs,3,MainWindow.ModRefresh.cs,Predominantly used by MainWindow.ModRefresh.cs; consider moving field there.
_selectedCloudModlist,MainWindow.Core.cs,MainWindow.CloudLoad.cs::InstallCloudModlistButton_OnClick;MainWindow.CloudLoad.cs::UpdateCloudModlistControlsEnabledState,MainWindow.CloudLoad.cs::SetCloudModlistSelection;MainWindow.ViewModel.cs::InitializeViewModel,MainWindow.CloudLoad.cs;MainWindow.ViewModel.cs,4,MainWindow.CloudLoad.cs,Predominantly used by MainWindow.CloudLoad.cs; consider moving field there.
_selectedLocalModlists,MainWindow.Core.cs,MainWindow.LocalModlists.cs::DeleteLocalModlistsButton_OnClick;MainWindow.LocalModlists.cs::InstallLocalModlistButton_OnClick;MainWindow.LocalModlists.cs::ModifyLocalModlistButton_OnClick;MainWindow.LocalModlists.cs::RefreshLocalModlistsAsync;MainWindow.LocalModlists.cs::SaveLocalModlistButton_OnClick;MainWindow.LocalModlists.cs::SetLocalModlistSelection;MainWindow.LocalModlists.cs::UpdateLocalModlistControlsEnabledState,,MainWindow.LocalModlists.cs,15,MainWindow.LocalModlists.cs,Predominantly used by MainWindow.LocalModlists.cs; consider moving field there.
_serverTargetService,MainWindow.Core.cs,MainWindow.ServerConnection.cs::ShowHostKeyVerificationAsync;MainWindow.ServerSync.cs::SyncToServerMenuItem_OnClick,,MainWindow.ServerConnection.cs;MainWindow.ServerSync.cs,2,MainWindow.ServerConnection.cs,Predominantly used by MainWindow.ServerConnection.cs; consider moving field there.
_suppressSortPreferenceSave,MainWindow.Core.cs,MainWindow.Sorting.cs::ApplySortOption;MainWindow.ViewModelPropertyChanges.cs::ViewModelOnPropertyChanged,MainWindow.Sorting.cs::ApplySortOption,MainWindow.Sorting.cs;MainWindow.ViewModelPropertyChanges.cs,4,MainWindow.Sorting.cs,Predominantly used by MainWindow.Sorting.cs; consider moving field there.
_syncEngine,MainWindow.Core.cs,,,,0,MainWindow.Core.cs,Unused field (dead code candidate).
_traceListener,MainWindow.Core.cs,MainWindow.Logging.cs::InitializeTraceListener;MainWindow.Startup.cs::MainWindow_OnClosing,MainWindow.Logging.cs::InitializeTraceListener;MainWindow.Startup.cs::MainWindow_OnClosing,MainWindow.Logging.cs;MainWindow.Startup.cs,7,MainWindow.Logging.cs,Predominantly used by MainWindow.Logging.cs; consider moving field there.
_userConfiguration,MainWindow.Core.cs,MainWindow.Appearance.cs::ShowCustomThemeEditor;MainWindow.ColumnVisibility.cs::InstalledModsColumnMenuItem_OnChecked;MainWindow.ColumnVisibility.cs::RegisterColumnMenuItem;MainWindow.Compatibility.cs::CheckModsCompatibilityMenuItem_OnClick;MainWindow.ConfigurationMigration.cs::CheckAndPromptMigrationAsync;MainWindow.DataFolderBackups.cs::ChangeBackupLocationMenuItem_OnClick;MainWindow.DeveloperProfiles.cs::DeveloperProfileMenuItem_OnClick;MainWindow.ExclusivePresetApplication.cs::ApplyExclusivePresetAsync;MainWindow.FeatureDirectories.cs::EnsureBackupDirectory;MainWindow.FeatureDirectories.cs::EnsureCloudModListCacheDirectory;MainWindow.FeatureDirectories.cs::EnsureModListDirectory;MainWindow.GameLaunch.cs::LaunchGameButton_OnClick;MainWindow.GameLaunch.cs::SetCustomShortcutMenuItem_OnClick;MainWindow.GameLaunch.cs::TryEnsureDataBackupBeforeLaunchAsync;MainWindow.Help.cs::GuideMenuItem_OnClick;MainWindow.Help.cs::HelpMenuItem_OnClick;MainWindow.Identity.cs::SaveUploaderName;MainWindow.Identity.cs::SetUsernameDisplay;MainWindow.Logging.cs::InitializeTraceListener;MainWindow.ModConfigCapture.cs::BuildModConfigOptions;MainWindow.ModConfigScanning.cs::ScanForModConfigsMenuItem_OnClick;MainWindow.ModConfiguration.cs::EditConfigButton_OnClick;MainWindow.ModDeletion.cs::TryDeleteModAtPathAsync;MainWindow.ModDependencyRepair.cs::InstallOrUpdateDependencyAsync;MainWindow.ModGridRowVisuals.cs::DisableHoverEffectsMenuItem_OnClick;MainWindow.ModGridSelection.cs::UpdateSelectedModCopyForServerButton;MainWindow.ModGridSelection.cs::UpdateSelectedModEditConfigButton;MainWindow.ModInfoPanel.cs::ApplyStoredModInfoPanelPosition;MainWindow.ModInfoPanel.cs::EnsureModInfoPanelWithinBounds;MainWindow.ModInfoPanel.cs::SetModInfoPanelPosition;MainWindow.ModInstallation.cs::InstallModCoreAsync;MainWindow.ModRefresh.cs::RefreshModsWithErrorHandlingAsync;MainWindow.ModUpdateCommands.cs::UpdateModsAsync;MainWindow.ModUsage.cs::PrepareModUsagePromptData;MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.ModUsage.cs::StartGameSessionMonitor;MainWindow.ModUsage.cs::TryShowModUsagePromptAsync;MainWindow.ModlistBackups.cs::CaptureConfigurationsForBackup;MainWindow.ModlistLoad.cs::EnsureModlistBackupBeforeLoad;MainWindow.ModlistLoad.cs::PromptModlistLoadMode;MainWindow.Navigation.cs::ApplyPreferredModlistsTabSelection;MainWindow.Navigation.cs::ModlistsTabControl_OnSelectionChanged;MainWindow.PathInitialization.cs::TryInitializePaths;MainWindow.PathInitialization.cs::TryResolveCustomShortcut;MainWindow.PathInitialization.cs::TryResolveDataDirectory;MainWindow.PathInitialization.cs::TryResolveGameDirectory;MainWindow.PathSelection.cs::SelectDataFolderMenuItem_OnClick;MainWindow.PathSelection.cs::SelectGameFolderMenuItem_OnClick;MainWindow.Pdf.cs::GetUploaderNameForPdf;MainWindow.PresetFiles.cs::EnsurePresetDirectory;MainWindow.PresetFiles.cs::LoadPresetFromFileAsync;MainWindow.PresetFiles.cs::SavePresetMenuItem_OnClick;MainWindow.PresetVersionApplication.cs::TryInstallPresetModAsync;MainWindow.Profiles.cs::CreateGameProfileMenuItem_OnClick;MainWindow.Profiles.cs::DeleteGameProfileMenuItem_OnClick;MainWindow.Profiles.cs::EditGameProfileMenuItem_OnClick;MainWindow.Profiles.cs::GameProfileMenuItem_OnClick;MainWindow.Profiles.cs::RefreshGameProfileMenuItems;MainWindow.Profiles.cs::UpdateActiveGameProfileDisplay;MainWindow.Profiles.cs::UpdateGameProfileMenuChecks;MainWindow.ServerSync.cs::EnableServerOptionsMenuItem_OnClick;MainWindow.ServerSync.cs::SyncToServerMenuItem_OnClick;MainWindow.ServerSync.cs::UpdateSyncToServerMenuState;MainWindow.Sorting.cs::RestoreSortPreference;MainWindow.Sorting.cs::UpdateSortPreferenceFromSelectedOption;MainWindow.Startup.cs::EnsureInstalledModsCachedAsync;MainWindow.Startup.cs::MainWindow_Loaded;MainWindow.Startup.cs::MainWindow_OnClosing;MainWindow.Startup.cs::MigrateLegacyRebuiltModlistsIfNeeded;MainWindow.Startup.cs::PromptCacheRefreshIfNeededAsync;MainWindow.ViewModel.cs::HandleViewModelInitializationFailure;MainWindow.ViewModel.cs::InitializeViewModel;MainWindow.ViewModel.cs::ReloadViewModelAsync;MainWindow.ViewModelPropertyChanges.cs::ViewModelOnPropertyChanged;MainWindow.WindowState.cs::ApplyStoredWindowDimensions;MainWindow.WindowState.cs::SaveWindowDimensions,,MainWindow.Appearance.cs;MainWindow.ColumnVisibility.cs;MainWindow.Compatibility.cs;MainWindow.ConfigurationMigration.cs;MainWindow.DataFolderBackups.cs;MainWindow.DeveloperProfiles.cs;MainWindow.ExclusivePresetApplication.cs;MainWindow.FeatureDirectories.cs;MainWindow.GameLaunch.cs;MainWindow.Help.cs;MainWindow.Identity.cs;MainWindow.Logging.cs;MainWindow.ModConfigCapture.cs;MainWindow.ModConfigScanning.cs;MainWindow.ModConfiguration.cs;MainWindow.ModDeletion.cs;MainWindow.ModDependencyRepair.cs;MainWindow.ModGridRowVisuals.cs;MainWindow.ModGridSelection.cs;MainWindow.ModInfoPanel.cs;MainWindow.ModInstallation.cs;MainWindow.ModlistBackups.cs;MainWindow.ModlistLoad.cs;MainWindow.ModRefresh.cs;MainWindow.ModUpdateCommands.cs;MainWindow.ModUsage.cs;MainWindow.Navigation.cs;MainWindow.PathInitialization.cs;MainWindow.PathSelection.cs;MainWindow.Pdf.cs;MainWindow.PresetFiles.cs;MainWindow.PresetVersionApplication.cs;MainWindow.Profiles.cs;MainWindow.ServerSync.cs;MainWindow.Sorting.cs;MainWindow.Startup.cs;MainWindow.ViewModel.cs;MainWindow.ViewModelPropertyChanges.cs;MainWindow.WindowState.cs,157,MainWindow.Profiles.cs,Predominantly used by MainWindow.Profiles.cs; consider moving field there.
