FieldName,DeclaredInFile,ReadByMethods,WrittenByMethods,UsedByPartialFiles,UsageCount,CandidateOwnerPartial,Notes
_cloudModlistStore,MainWindow.Core.cs,MainWindow.CloudInfrastructure.cs::EnsureCloudStoreInitializedAsync;MainWindow.Identity.cs::ApplyPlayerIdentityToUiAndCloudStore;MainWindow.Identity.cs::ResolveUploaderName;MainWindow.Identity.cs::SaveUploaderName;MainWindow.Pdf.cs::GetUploaderNameForPdf;MainWindow.WindowState.cs::OnClosed,MainWindow.CloudInfrastructure.cs::EnsureCloudStoreInitializedAsync;MainWindow.CloudManagement.cs::DeleteAllCloudModlistsAndAuthorizationAsync;MainWindow.DeveloperProfiles.cs::DeveloperProfileMenuItem_OnClick,MainWindow.CloudInfrastructure.cs;MainWindow.CloudManagement.cs;MainWindow.DeveloperProfiles.cs;MainWindow.Identity.cs;MainWindow.Pdf.cs;MainWindow.WindowState.cs,10,MainWindow.Identity.cs,Predominantly used by MainWindow.Identity.cs; consider moving field there.
_cloudModlistsLoaded,MainWindow.Core.cs,MainWindow.CloudLoad.cs::RefreshCloudModlistsAsync;MainWindow.Navigation.cs::HandleModlistsVisibilityChanged;MainWindow.Navigation.cs::ModlistsTabControl_OnSelectionChanged,MainWindow.CloudLoad.cs::DeleteCloudModlistMenuItem_OnClick;MainWindow.CloudLoad.cs::RefreshCloudModlistsAsync;MainWindow.CloudManagement.cs::DeleteAllCloudModlistsAndAuthorizationAsync;MainWindow.CloudManagement.cs::UpdateCloudModlistsAfterChangeAsync;MainWindow.CloudSave.cs::SaveModlistToCloudMenuItem_OnClick;MainWindow.ViewModel.cs::InitializeViewModel,MainWindow.CloudLoad.cs;MainWindow.CloudManagement.cs;MainWindow.CloudSave.cs;MainWindow.Navigation.cs;MainWindow.ViewModel.cs,9,MainWindow.CloudLoad.cs,Predominantly used by MainWindow.CloudLoad.cs; consider moving field there.
_cloudStoreLock,MainWindow.Core.cs,MainWindow.CloudInfrastructure.cs::EnsureCloudStoreInitializedAsync;MainWindow.WindowState.cs::OnClosed,,MainWindow.CloudInfrastructure.cs;MainWindow.WindowState.cs,3,MainWindow.CloudInfrastructure.cs,Predominantly used by MainWindow.CloudInfrastructure.cs; consider moving field there.
_confirmationService,MainWindow.Core.cs,MainWindow.CloudAuth.cs::RestoreFirebaseAuthBackupMenuItem_OnClick;MainWindow.CloudInfrastructure.cs::ExecuteCloudOperationAsync;MainWindow.CloudInfrastructure.cs::MigrateLegacyFirebaseDataIfNeededAsync;MainWindow.CloudLoad.cs::DeleteCloudModlistMenuItem_OnClick;MainWindow.CloudLoad.cs::EnsureCloudModlistContentAsync;MainWindow.CloudLoad.cs::InstallCloudModlistButton_OnClick;MainWindow.CloudLoad.cs::LoadModlistFromCloudMenuItem_OnClick;MainWindow.CloudManagement.cs::DeleteAllCloudModlistsAndAuthorizationAsync;MainWindow.CloudManagement.cs::DeleteCloudModlistAsync;MainWindow.CloudManagement.cs::RenameCloudModlistAsync;MainWindow.CloudManagement.cs::ShowCloudModlistManagementDialogAsync;MainWindow.CloudSave.cs::SaveModlistToCloudAsync;MainWindow.Compatibility.cs::CheckModsCompatibilityMenuItem_OnClick;MainWindow.Compatibility.cs::ExperimentalCompReviewMenuItem_OnClick;MainWindow.ConfigurationMigration.cs::CheckAndPromptMigrationAsync;MainWindow.ConfigurationMigration.cs::PerformMigrationAsync;MainWindow.DataFolderBackups.cs::ChangeBackupLocationMenuItem_OnClick;MainWindow.DataFolderBackups.cs::DeleteDataFolderBackupsMenuItem_OnClick;MainWindow.DataFolderBackups.cs::OpenDataBackupDirectoryMenuItem_OnClick;MainWindow.DataFolderBackups.cs::RestoreDataBackupAsync;MainWindow.DataFolderBackups.cs::RestoreDataFolderMenuItem_OnBackupClick;MainWindow.Debugging.cs::ExperimentalAllModsDebuggingMenuItem_OnClick;MainWindow.Debugging.cs::ExperimentalModDebuggingMenuItem_OnClick;MainWindow.ExclusivePresetApplication.cs::ApplyExclusivePresetAsync;MainWindow.GameLaunch.cs::LaunchGameButton_OnClick;MainWindow.GameLaunch.cs::SetCustomShortcutMenuItem_OnClick;MainWindow.GameLaunch.cs::TryEnsureDataBackupBeforeLaunchAsync;MainWindow.Help.cs::DiscordButton_OnClick;MainWindow.LocalModlists.cs::DeleteLocalModlistsButton_OnClick;MainWindow.LocalModlists.cs::InstallLocalModlistButton_OnClick;MainWindow.LocalModlists.cs::ModifyLocalModlistButton_OnClick;MainWindow.LocalModlists.cs::OpenModlistsFolderButton_OnClick;MainWindow.LocalModlists.cs::RefreshLocalModlistsAsync;MainWindow.ManagerCache.cs::ClearAllCachesMenuItem_OnClick;MainWindow.ManagerCache.cs::DeleteCachedModsMenuItem_OnClick;MainWindow.ManagerDataDeletion.cs::DeleteAllManagerFilesMenuItem_OnClick;MainWindow.ManagerFolder.cs::ChangeManagerFolderMenuItem_OnClick;MainWindow.ManagerFolder.cs::HandleResetManagerFolderAsync;MainWindow.ManagerFolder.cs::ManagerDataFolderMenuItem_OnClick;MainWindow.ManagerUpdateLink.cs::OpenManagerModDatabasePageAsync;MainWindow.ModConfigScanning.cs::ScanForModConfigsMenuItem_OnClick;MainWindow.ModConfiguration.cs::EditConfigButton_OnClick;MainWindow.ModDeletion.cs::DeleteMultipleModsAsync;MainWindow.ModDeletion.cs::DeleteSingleModAsync;MainWindow.ModDeletion.cs::TryDeleteModAtPathAsync;MainWindow.ModDependencyRepair.cs::FixModButton_OnClick;MainWindow.ModInstallation.cs::InstallModCoreAsync;MainWindow.ModRefresh.cs::RefreshModsAfterDependencyResolutionAsync;MainWindow.ModRefresh.cs::RefreshModsWithErrorHandlingAsync;MainWindow.ModRefresh.cs::ScheduleRefreshAfterModlistLoadIfReady;MainWindow.ModUpdateCommands.cs::UpdateAllModsMenuItem_OnClick;MainWindow.ModUpdateCommands.cs::UpdateModsAsync;MainWindow.ModUsage.cs::ShowModUsagePromptDialogAsync;MainWindow.ModlistBackups.cs::RestoreBackupAsync;MainWindow.ModlistLoading.cs::LoadModlistFromFileAsync;MainWindow.ModlistSave.cs::TrySaveAutomaticModlist;MainWindow.ModlistSave.cs::TrySaveModlistAsync;MainWindow.ModsWatcherTimer.cs::ModsWatcherTimerOnTick;MainWindow.PathSelection.cs::PromptForDirectory;MainWindow.Pdf.cs::SaveInstalledModsPdfMenuItem_OnClick;MainWindow.Pdf.cs::TrySaveInstalledModsPdfAsync;MainWindow.PresetConfigurationImport.cs::ImportPresetConfigsAsync;MainWindow.PresetFiles.cs::LoadPresetFromFileAsync;MainWindow.PresetFiles.cs::LoadPresetMenuItem_OnClick;MainWindow.PresetFiles.cs::TrySaveSnapshot;MainWindow.PresetVersionApplication.cs::ApplyPresetModVersionsAsync;MainWindow.Profiles.cs::CreateGameProfileMenuItem_OnClick;MainWindow.Profiles.cs::DeleteGameProfileMenuItem_OnClick;MainWindow.Profiles.cs::EditGameProfileMenuItem_OnClick;MainWindow.ServerModCopy.cs::SelectedModCopyForServerButton_OnClick;MainWindow.ServerSync.cs::SyncToServerMenuItem_OnClick;MainWindow.UserReports.cs::UserReportsButton_OnClick,,MainWindow.CloudAuth.cs;MainWindow.CloudInfrastructure.cs;MainWindow.CloudLoad.cs;MainWindow.CloudManagement.cs;MainWindow.CloudSave.cs;MainWindow.Compatibility.cs;MainWindow.ConfigurationMigration.cs;MainWindow.DataFolderBackups.cs;MainWindow.Debugging.cs;MainWindow.ExclusivePresetApplication.cs;MainWindow.GameLaunch.cs;MainWindow.Help.cs;MainWindow.LocalModlists.cs;MainWindow.ManagerCache.cs;MainWindow.ManagerDataDeletion.cs;MainWindow.ManagerFolder.cs;MainWindow.ManagerUpdateLink.cs;MainWindow.ModConfigScanning.cs;MainWindow.ModConfiguration.cs;MainWindow.ModDeletion.cs;MainWindow.ModDependencyRepair.cs;MainWindow.ModInstallation.cs;MainWindow.ModlistBackups.cs;MainWindow.ModlistLoading.cs;MainWindow.ModlistSave.cs;MainWindow.ModRefresh.cs;MainWindow.ModsWatcherTimer.cs;MainWindow.ModUpdateCommands.cs;MainWindow.ModUsage.cs;MainWindow.PathSelection.cs;MainWindow.Pdf.cs;MainWindow.PresetConfigurationImport.cs;MainWindow.PresetFiles.cs;MainWindow.PresetVersionApplication.cs;MainWindow.Profiles.cs;MainWindow.ServerModCopy.cs;MainWindow.ServerSync.cs;MainWindow.UserReports.cs,183,MainWindow.DataFolderBackups.cs,Predominantly used by MainWindow.DataFolderBackups.cs; consider moving field there.
_currentModsView,MainWindow.Core.cs,MainWindow.ViewModelPropertyChanges.cs::ViewModelOnPropertyChanged,MainWindow.ModGridViewState.cs::AttachToModsView,MainWindow.ModGridViewState.cs;MainWindow.ViewModelPropertyChanges.cs,3,MainWindow.ModGridViewState.cs,Predominantly used by MainWindow.ModGridViewState.cs; consider moving field there.
_customShortcutPath,MainWindow.Core.cs,MainWindow.GameLaunch.cs::LaunchGameButton_OnClick,MainWindow.GameLaunch.cs::LaunchGameButton_OnClick;MainWindow.GameLaunch.cs::SetCustomShortcutMenuItem_OnClick;MainWindow.PathInitialization.cs::TryResolveCustomShortcut,MainWindow.GameLaunch.cs;MainWindow.PathInitialization.cs,7,MainWindow.GameLaunch.cs,Predominantly used by MainWindow.GameLaunch.cs; consider moving field there.
_customThemeMenuItems,MainWindow.Core.cs,MainWindow.Appearance.cs::RefreshCustomThemeMenuItems,,MainWindow.Appearance.cs,3,MainWindow.Appearance.cs,Predominantly used by MainWindow.Appearance.cs; consider moving field there.
_dataDirectory,MainWindow.Core.cs,MainWindow.CloudAuth.cs::DeleteFirebaseAuthFiles;MainWindow.CloudAuth.cs::EnsureFirebaseAuthBackedUpIfAvailable;MainWindow.DataFolderBackups.cs::DeleteDataFolderBackupsMenuItem_OnClick;MainWindow.DataFolderBackups.cs::RestoreDataBackupAsync;MainWindow.DataFolderBackups.cs::RestoreDataFolderMenuItem_OnSubmenuOpened;MainWindow.FolderOpening.cs::OpenConfigFolderButton_OnClick;MainWindow.FolderOpening.cs::OpenLogsFolderButton_OnClick;MainWindow.FolderOpening.cs::OpenModFolderButton_OnClick;MainWindow.GameLaunch.cs::TryEnsureDataBackupBeforeLaunchAsync;MainWindow.ManagedModPaths.cs::TryGetManagedModPath;MainWindow.ManagerDataDeletion.cs::DeleteAllManagerFilesMenuItem_OnClick;MainWindow.PathInitialization.cs::TryInitializePaths;MainWindow.PathInitialization.cs::TryResolveDataDirectory;MainWindow.PathSelection.cs::GetInitialConfigDirectory;MainWindow.ServerSync.cs::SyncToServerMenuItem_OnClick;MainWindow.ViewModel.cs::HandleViewModelInitializationFailure,MainWindow.DeveloperProfiles.cs::DeveloperProfileMenuItem_OnClick;MainWindow.PathInitialization.cs::TryResolveDataDirectory;MainWindow.PathSelection.cs::SelectDataFolderMenuItem_OnClick;MainWindow.ViewModel.cs::HandleViewModelInitializationFailure,MainWindow.CloudAuth.cs;MainWindow.DataFolderBackups.cs;MainWindow.DeveloperProfiles.cs;MainWindow.FolderOpening.cs;MainWindow.GameLaunch.cs;MainWindow.ManagedModPaths.cs;MainWindow.ManagerDataDeletion.cs;MainWindow.PathInitialization.cs;MainWindow.PathSelection.cs;MainWindow.ServerSync.cs;MainWindow.ViewModel.cs,23,MainWindow.DataFolderBackups.cs,Predominantly used by MainWindow.DataFolderBackups.cs; consider moving field there.
_dataFolderBackupCoordinator,MainWindow.Core.cs,MainWindow.DataFolderBackups.cs::ChangeBackupLocationMenuItem_OnClick;MainWindow.DataFolderBackups.cs::DeleteDataFolderBackupsMenuItem_OnClick;MainWindow.DataFolderBackups.cs::OpenDataBackupDirectoryMenuItem_OnClick;MainWindow.DataFolderBackups.cs::RestoreDataBackupAsync;MainWindow.DataFolderBackups.cs::RestoreDataFolderMenuItem_OnSubmenuOpened;MainWindow.GameLaunch.cs::TryEnsureDataBackupBeforeLaunchAsync,,MainWindow.DataFolderBackups.cs;MainWindow.GameLaunch.cs,7,MainWindow.DataFolderBackups.cs,Predominantly used by MainWindow.DataFolderBackups.cs; consider moving field there.
_developerProfileMenuItems,MainWindow.Core.cs,MainWindow.DeveloperProfiles.cs::RefreshDeveloperProfilesMenuEntries;MainWindow.DeveloperProfiles.cs::UpdateDeveloperProfileMenuChecks,,MainWindow.DeveloperProfiles.cs,4,MainWindow.DeveloperProfiles.cs,Predominantly used by MainWindow.DeveloperProfiles.cs; consider moving field there.
