XamlFile,ElementName,EventName,HandlerName,HandlerPartialFile
MainWindow.xaml,MenuItem,Click,SavePresetMenuItem_OnClick,MainWindow.PresetFiles.cs
MainWindow.xaml,MenuItem,Click,GuideMenuItem_OnClick,MainWindow.Help.cs
MainWindow.xaml,MenuItem,Click,HelpMenuItem_OnClick,MainWindow.Help.cs
MainWindow.xaml,MenuItem,Click,ManagerModDbPageMenuItem_OnClick,MainWindow.ManagerUpdateLink.cs
MainWindow.xaml,MenuItem,Click,ClearAllCachesMenuItem_OnClick,MainWindow.ManagerCache.cs
MainWindow.xaml,MenuItem,Click,SetCustomShortcutMenuItem_OnClick,MainWindow.GameLaunch.cs
MainWindow.xaml,MenuItem,Click,ChangeManagerFolderMenuItem_OnClick,MainWindow.ManagerFolder.cs
MainWindow.xaml,MenuItem,Click,RestoreFirebaseAuthBackupMenuItem_OnClick,MainWindow.CloudAuth.cs
MainWindow.xaml,MenuItem,Click,ExperimentalModDebuggingMenuItem_OnClick,MainWindow.Debugging.cs
MainWindow.xaml,MenuItem,Click,ExperimentalAllModsDebuggingMenuItem_OnClick,MainWindow.Debugging.cs
MainWindow.xaml,MenuItem,Click,DeleteAllManagerFilesMenuItem_OnClick,MainWindow.ManagerDataDeletion.cs
MainWindow.xaml,MenuItem,SubmenuOpened,RestoreBackupMenuItem_OnSubmenuOpened,MainWindow.ModlistBackups.cs
MainWindow.xaml,MenuItem,SubmenuOpened,ModsMenuItem_OnSubmenuOpened,MainWindow.ManagerCache.cs
MainWindow.xaml,MiddleTabControl,SelectionChanged,MiddleTabControl_OnSelectionChanged,MainWindow.Navigation.cs
MainWindow.xaml,ModifyCloudModlistsButton,Click,ModifyCloudModlistsButton_OnClick,MainWindow.CloudManagement.cs
MainWindow.xaml,ModifyLocalModlistButton,Click,ModifyLocalModlistButton_OnClick,MainWindow.LocalModlists.cs
MainWindow.xaml,MODINFO_border,LostMouseCapture,ModInfoBorder_OnLostMouseCapture,MainWindow.ModInfoPanel.cs
MainWindow.xaml,MODINFO_border,MouseLeftButtonDown,ModInfoBorder_OnMouseLeftButtonDown,MainWindow.ModInfoPanel.cs
MainWindow.xaml,MODINFO_border,MouseLeftButtonUp,ModInfoBorder_OnMouseLeftButtonUp,MainWindow.ModInfoPanel.cs
MainWindow.xaml,MODINFO_border,MouseMove,ModInfoBorder_OnMouseMove,MainWindow.ModInfoPanel.cs
